InvoiceNumber,EquipID,InvoiceDate
INV-00369,3679,2023-08-07
INV-00370,2811,2023-01-17
INV-00371,974,2023-05-28
INV-00372,4025,2023-06-27
INV-00373,5708,2023-09-16
INV-00374,3428,2023-02-11
INV-00375,2,2023-10-07
INV-00376,785,2023-10-27
INV-00377,3486,2023-03-11
INV-00378,1890,2023-02-24
INV-00379,1718,2023-02-01
INV-00380,4334,2023-01-29
INV-00381,595,2023-03-16
INV-00382,3642,2023-04-25
INV-00383,3433,2023-05-27
INV-00384,1328,2023-07-27
INV-00385,2045,2023-05-22
INV-00386,2336,2023-08-08
INV-00387,1146,2023-07-03
INV-00388,5684,2023-06-19
INV-00389,2720,2023-09-27
INV-00390,3332,2023-04-29
INV-00391,4260,2023-03-01
INV-00392,1979,2023-01-18
INV-00393,2896,2023-08-29
INV-00394,466,2023-05-18
INV-00395,751,2023-11-03
INV-00396,1970,2023-07-11
INV-00397,2633,2023-08-31
INV-00398,2335,2023-03-25
INV-00399,5386,2023-01-04
INV-00400,5537,2023-12-01
INV-00401,4194,2023-08-06
INV-00402,403,2023-12-21
INV-00403,3031,2023-07-29
INV-00404,3159,2023-10-09
INV-00405,1401,2023-02-28
INV-00406,3628,2023-02-10
INV-00407,3921,2023-05-28
INV-00408,2818,2023-04-02
INV-00409,3908,2023-07-04
INV-00410,4588,2023-05-19
INV-00411,1076,2023-05-22
INV-00412,1524,2023-07-29
INV-00413,3156,2023-09-08
INV-00414,2934,2023-07-31
INV-00415,3091,2023-12-18
INV-00416,4549,2023-09-28
INV-00417,3532,2023-03-24
INV-00418,4765,2023-02-09
INV-00419,3196,2023-07-30
INV-00420,762,2023-01-05
INV-00421,5098,2023-11-30
INV-00422,5329,2023-07-23
INV-00423,2121,2023-02-11
INV-00424,2900,2023-09-02
INV-00425,1646,2023-11-09
INV-00426,3361,2023-09-01
INV-00427,3211,2023-04-30
INV-00428,5602,2023-11-08
INV-00429,2190,2023-07-10
INV-00430,3616,2023-10-18
INV-00431,2050,2023-08-29
INV-00432,3107,2023-06-09
INV-00433,4860,2023-06-21
INV-00434,986,2023-04-12
INV-00435,644,2023-03-22
INV-00436,1974,2023-01-20
INV-00437,2153,2023-07-23
INV-00438,344,2023-03-26
INV-00439,970,2023-03-01
INV-00440,3851,2023-04-14
INV-00441,2171,2023-08-26
INV-00442,2574,2023-02-21
INV-00443,1648,2023-02-26
INV-00444,1344,2023-09-03
INV-00445,4468,2023-08-15
INV-00446,4980,2023-11-21
INV-00447,1059,2023-03-25
INV-00448,2730,2023-09-23
INV-00449,3701,2023-07-16
INV-00450,5633,2023-05-13
INV-00451,5502,2023-02-01
INV-00452,1136,2023-05-20
INV-00453,1687,2023-08-27
INV-00454,4215,2023-03-21
INV-00455,1838,2023-04-24
INV-00456,2757,2023-03-15
INV-00457,1241,2023-06-22
INV-00458,4597,2023-01-02
INV-00459,3219,2023-08-05
INV-00460,3699,2023-05-05
INV-00461,2044,2023-11-16
INV-00462,5921,2023-02-01
INV-00463,5431,2023-12-24
INV-00464,508,2023-11-22
INV-00465,2588,2023-04-12
INV-00466,2904,2023-08-19
INV-00467,4413,2023-02-08
INV-00468,4972,2023-05-25
INV-00469,5548,2023-09-24
INV-00470,5653,2023-03-18
INV-00471,1297,2023-07-12
INV-00472,3840,2023-04-21
INV-00473,4975,2023-05-14
INV-00474,1137,2023-02-20
INV-00475,1012,2023-06-06
INV-00476,655,2023-09-18
INV-00477,3965,2023-01-02
INV-00478,5404,2023-09-17
INV-00479,3373,2023-08-11
INV-00480,5270,2023-03-15
INV-00481,3325,2023-11-29
INV-00482,1121,2023-07-24
INV-00483,2987,2023-01-10
INV-00484,461,2023-10-13
INV-00485,538,2023-10-04
INV-00486,5408,2023-07-29
INV-00487,5189,2023-11-17
INV-00488,1927,2023-01-11
INV-00489,4094,2023-01-08
INV-00490,4553,2023-01-19
INV-00491,4149,2023-11-09
INV-00492,4208,2023-10-24
INV-00493,4038,2023-07-31
INV-00494,3166,2023-11-05
INV-00495,3115,2023-12-20
INV-00496,5521,2023-04-04
INV-00497,2356,2023-08-09
INV-00498,2679,2023-10-05
INV-00499,4274,2023-07-25
INV-00500,3670,2023-05-13
INV-00501,610,2023-09-14
INV-00502,4672,2023-07-18
INV-00503,4193,2023-06-04
INV-00504,1245,2023-09-27
INV-00505,5879,2023-09-11
INV-00506,5038,2023-12-01
INV-00507,159,2023-10-16
INV-00508,1740,2023-07-09
INV-00509,1037,2023-05-05
INV-00510,109,2023-09-15
INV-00511,3914,2023-07-23
INV-00512,2740,2023-08-08
INV-00513,1331,2023-10-10
INV-00514,1678,2023-08-28
INV-00515,4103,2023-06-06
INV-00516,114,2023-05-04
INV-00517,1403,2023-05-10
INV-00518,5159,2023-07-26
INV-00519,4325,2023-08-19
INV-00520,10,2023-12-24
INV-00521,5734,2023-10-22
INV-00522,4887,2023-09-14
INV-00523,384,2023-11-28
INV-00524,3016,2023-12-17
INV-00525,3147,2023-11-18
INV-00526,3767,2023-04-09
INV-00527,4236,2023-03-16
INV-00528,5075,2023-10-15
INV-00529,4811,2023-02-28
INV-00530,3979,2023-12-19
INV-00531,4836,2023-03-30
INV-00532,461,2023-09-30
INV-00533,4127,2023-07-28
INV-00534,2163,2023-05-06
INV-00535,4598,2023-03-12
INV-00536,5003,2023-05-31
INV-00537,3326,2023-08-18
INV-00538,2569,2023-09-17
INV-00539,5367,2023-06-29
INV-00540,1357,2023-03-17
INV-00541,3412,2023-11-25
INV-00542,901,2023-02-05
INV-00543,1129,2023-02-06
INV-00544,1748,2023-07-17
INV-00545,5632,2023-10-18
INV-00546,1382,2023-12-30
INV-00547,3506,2023-10-10
INV-00548,3397,2023-04-22
INV-00549,2756,2023-07-12
INV-00550,1909,2023-08-14
INV-00551,1852,2023-12-11
INV-00552,4483,2023-10-25
INV-00553,5621,2023-03-01
INV-00554,4957,2023-10-11
INV-00555,2512,2023-08-26
INV-00556,730,2023-09-30
INV-00557,3543,2023-12-10
INV-00558,5111,2023-10-31
INV-00559,41,2023-11-19
INV-00560,1342,2023-10-15
INV-00561,3929,2023-10-16
INV-00562,5893,2023-06-27
INV-00563,874,2023-06-09
INV-00564,1095,2023-02-28
INV-00565,4870,2023-02-02
INV-00566,1927,2023-01-08
INV-00567,1110,2023-05-16
INV-00568,3716,2023-04-21
INV-00569,1217,2023-12-28
INV-00570,1628,2023-08-01
INV-00571,4621,2023-03-08
INV-00572,1974,2023-06-03
INV-00573,3218,2023-01-14
INV-00574,2918,2023-02-01
INV-00575,842,2023-06-20
INV-00576,3280,2023-11-10
INV-00577,212,2023-12-03
INV-00578,227,2023-10-06
INV-00579,4182,2023-04-02
INV-00580,664,2023-03-17
INV-00581,560,2023-12-07
INV-00582,5599,2023-02-27
INV-00583,950,2023-09-24
INV-00584,5261,2023-09-15
INV-00585,1786,2023-01-09
INV-00586,4752,2023-04-02
INV-00587,1114,2023-07-01
INV-00588,4257,2023-11-16
INV-00589,185,2023-11-28
INV-00590,1220,2023-01-25
INV-00591,3054,2023-04-11
INV-00592,2935,2023-06-11
INV-00593,3662,2023-09-18
INV-00594,4177,2023-10-17
INV-00595,29,2023-05-11
INV-00596,5208,2023-01-21
INV-00597,3665,2023-05-16
INV-00598,5581,2023-03-04
INV-00599,4845,2023-07-10
INV-00600,5504,2023-03-24
INV-00601,2177,2023-01-07
INV-00602,1343,2023-07-30
INV-00603,3503,2023-09-15
INV-00604,5821,2023-02-25
INV-00605,2134,2023-08-03
INV-00606,3103,2023-07-18
INV-00607,3181,2023-11-05
INV-00608,5612,2023-07-24
INV-00609,2682,2023-10-07
INV-00610,3670,2023-08-13
INV-00611,5118,2023-01-24
INV-00612,4716,2023-07-11
INV-00613,5191,2023-12-09
INV-00614,96,2023-09-01
INV-00615,3101,2023-10-19
INV-00616,5779,2023-06-02
INV-00617,2649,2023-09-03
INV-00618,5942,2023-09-02
INV-00619,1313,2023-06-28
INV-00620,2572,2023-03-25
INV-00621,277,2023-01-23
INV-00622,5589,2023-01-11
INV-00623,3088,2023-06-02
INV-00624,4500,2023-07-10
INV-00625,4417,2023-12-25
INV-00626,2125,2023-08-20
INV-00627,2750,2023-11-02
INV-00628,2350,2023-01-29
INV-00629,640,2023-09-12
INV-00630,4256,2023-03-30
INV-00631,657,2023-03-29
INV-00632,5350,2023-01-02
INV-00633,5072,2023-11-04
INV-00634,1242,2023-03-28
INV-00635,2420,2023-02-13
INV-00636,5468,2023-01-19
INV-00637,3124,2023-03-10
INV-00638,2206,2023-10-06
INV-00639,4457,2023-08-12
INV-00640,5038,2023-04-07
INV-00641,5673,2023-04-08
INV-00642,1552,2023-02-03
INV-00643,915,2023-04-24
INV-00644,4748,2023-08-20
INV-00645,4677,2023-02-13
INV-00646,2426,2023-04-13
INV-00647,151,2023-04-02
INV-00648,5054,2023-06-17
INV-00649,228,2023-06-14
INV-00650,2001,2023-03-02
INV-00651,1686,2023-08-06
INV-00652,1967,2023-12-23
INV-00653,5696,2023-05-10
INV-00654,2304,2023-06-25
INV-00655,2462,2023-04-29
INV-00656,811,2023-09-10
INV-00657,5343,2023-01-03
INV-00658,4029,2023-11-15
INV-00659,51,2023-06-24
INV-00660,3886,2023-03-20
INV-00661,638,2023-03-11
INV-00662,3190,2023-06-13
INV-00663,5401,2023-05-04
INV-00664,1250,2023-07-18
INV-00665,3259,2023-02-18
INV-00666,4258,2023-05-19
INV-00667,2275,2023-01-22
INV-00668,755,2023-07-13
INV-00669,3928,2023-08-22
INV-00670,3012,2023-11-19
INV-00671,3396,2023-02-06
INV-00672,5625,2023-02-20
INV-00673,4535,2023-08-18
INV-00674,1614,2023-01-12
INV-00675,879,2023-11-27
INV-00676,2407,2023-04-23
INV-00677,3575,2023-06-15
INV-00678,2806,2023-06-03
INV-00679,540,2023-06-13
INV-00680,5166,2023-12-24
INV-00681,4300,2023-07-21
INV-00682,2023,2023-06-12
INV-00683,4775,2023-04-14
INV-00684,4153,2023-06-05
INV-00685,5429,2023-06-29
INV-00686,416,2023-08-23
INV-00687,4930,2023-09-30
INV-00688,3073,2023-03-02
INV-00689,5635,2023-07-12
INV-00690,4528,2023-05-03
INV-00691,165,2023-03-22
INV-00692,3026,2023-11-08
INV-00693,2035,2023-10-04
INV-00694,4279,2023-07-25
INV-00695,1186,2023-08-07
INV-00696,199,2023-01-25
INV-00697,5862,2023-01-30
INV-00698,548,2023-02-16
INV-00699,3949,2023-03-11
INV-00700,1765,2023-07-25
INV-00701,4433,2023-07-19
INV-00702,225,2023-04-10
INV-00703,159,2023-12-26
INV-00704,5639,2023-06-03
INV-00705,3903,2023-01-03
INV-00706,5944,2023-05-24
INV-00707,3842,2023-08-13
INV-00708,1661,2023-01-15
INV-00709,1728,2023-08-03
INV-00710,3213,2023-08-06
INV-00711,5898,2023-09-11
INV-00712,2342,2023-07-05
INV-00713,4913,2023-11-26
INV-00714,3862,2023-06-18
INV-00715,5242,2023-01-08
INV-00716,4817,2023-05-02
INV-00717,1258,2023-01-04
INV-00718,1281,2023-04-22
INV-00719,4299,2023-08-16
INV-00720,1472,2023-07-16
INV-00721,5168,2023-08-24
INV-00722,1811,2023-06-07
INV-00723,3904,2023-01-22
INV-00724,2568,2023-12-09
INV-00725,1415,2023-02-20
INV-00726,4693,2023-10-21
INV-00727,4080,2023-02-19
INV-00728,5151,2023-08-12
INV-00729,4252,2023-03-20
INV-00730,5204,2023-03-29
INV-00731,5174,2023-02-09
INV-00732,2455,2023-06-18
INV-00733,1075,2023-02-18
INV-00734,5619,2023-03-26
INV-00735,3069,2023-10-16
INV-00736,3363,2023-08-01
INV-00737,3755,2023-05-27
INV-00738,3020,2023-11-12
INV-00739,57,2023-05-20
INV-00740,163,2023-05-27
INV-00741,3711,2023-03-18
INV-00742,801,2023-09-15
INV-00743,3801,2023-01-23
INV-00744,222,2023-09-12
INV-00745,3692,2023-09-21
INV-00746,356,2023-07-18
INV-00747,3904,2023-12-07
INV-00748,3635,2023-11-04
INV-00749,4575,2023-05-18
INV-00750,1637,2023-06-18
INV-00751,5035,2023-05-02
INV-00752,5130,2023-07-31
INV-00753,1068,2023-10-27
INV-00754,3613,2023-10-17
INV-00755,4801,2023-08-26
INV-00756,3417,2023-08-26
INV-00757,1145,2023-06-15
INV-00758,2454,2023-02-18
INV-00759,4806,2023-06-09
INV-00760,771,2023-10-03
INV-00761,1623,2023-02-12
INV-00762,3225,2023-02-26
INV-00763,4857,2023-03-05
INV-00764,395,2023-06-14
INV-00765,2012,2023-11-19
INV-00766,5113,2023-05-14
INV-00767,4772,2023-07-02
INV-00768,149,2023-09-20
INV-00769,612,2023-10-29
INV-00770,1622,2023-12-03
INV-00771,3873,2023-05-30
INV-00772,4314,2023-02-24
INV-00773,962,2023-11-29
INV-00774,4664,2023-07-27
INV-00775,3970,2023-03-28
INV-00776,3700,2023-05-04
INV-00777,5925,2023-06-15
INV-00778,1402,2023-06-22
INV-00779,2673,2023-07-20
INV-00780,4621,2023-09-11
INV-00781,1476,2023-01-31
INV-00782,1960,2023-12-23
INV-00783,2991,2023-02-12
INV-00784,1940,2023-09-08
INV-00785,5895,2023-12-06
INV-00786,5094,2023-02-18
INV-00787,4308,2023-05-17
INV-00788,1009,2023-11-27
INV-00789,2770,2023-08-06
INV-00790,4567,2023-03-15
INV-00791,3838,2023-09-02
INV-00792,1380,2023-05-29
INV-00793,917,2023-03-11
INV-00794,1099,2023-12-10
INV-00795,1798,2023-07-16
INV-00796,1274,2023-07-16
INV-00797,426,2023-01-24
INV-00798,2009,2023-03-11
INV-00799,5771,2023-10-16
INV-00800,1331,2023-12-16
INV-00801,3168,2023-05-10
INV-00802,186,2023-10-07
INV-00803,3462,2023-07-04
INV-00804,1364,2023-03-27
INV-00805,1373,2023-08-22
INV-00806,4188,2023-03-04
INV-00807,645,2023-11-26
INV-00808,35,2023-01-06
INV-00809,837,2023-09-12
INV-00810,4873,2023-03-17
INV-00811,2302,2023-01-27
INV-00812,4422,2023-12-17
INV-00813,2979,2023-02-21
INV-00814,110,2023-01-21
INV-00815,2550,2023-03-18
INV-00816,2055,2023-08-02
INV-00817,4887,2023-05-01
INV-00818,2245,2023-01-14
INV-00819,2720,2023-11-19
INV-00820,1398,2023-10-05
INV-00821,3474,2023-03-17
INV-00822,4447,2023-09-20
INV-00823,4398,2023-09-24
INV-00824,2447,2023-05-14
INV-00825,890,2023-03-05
INV-00826,1050,2023-03-28
INV-00827,862,2023-03-09
INV-00828,2605,2023-03-08
INV-00829,4500,2023-02-04
INV-00830,5124,2023-11-16
INV-00831,3918,2023-05-11
INV-00832,2462,2023-07-08
INV-00833,553,2023-11-09
INV-00834,175,2023-07-11
INV-00835,3703,2023-03-15
INV-00836,1264,2023-07-22
INV-00837,2972,2023-05-04
INV-00838,2102,2023-05-26
INV-00839,2372,2023-08-18
INV-00840,3946,2023-11-26
INV-00841,5995,2023-11-06
INV-00842,3164,2023-08-07
INV-00843,3778,2023-05-12
INV-00844,870,2023-01-08
INV-00845,106,2023-02-20
INV-00846,4904,2023-03-19
INV-00847,1187,2023-04-30
INV-00848,2457,2023-09-11
INV-00849,413,2023-08-27
INV-00850,2198,2023-11-11
INV-00851,2870,2023-03-12
INV-00852,51,2023-05-02
INV-00853,1554,2023-05-23
INV-00854,222,2023-06-26
INV-00855,5114,2023-01-28
INV-00856,2036,2023-06-27
INV-00857,3637,2023-11-06
INV-00858,2776,2023-08-26
INV-00859,1469,2023-03-03
INV-00860,5602,2023-02-04
INV-00861,2767,2023-03-28
INV-00862,4737,2023-12-02
INV-00863,109,2023-11-15
INV-00864,3825,2023-09-02
INV-00865,1850,2023-05-19
INV-00866,4864,2023-05-16
INV-00867,3051,2023-09-08
INV-00868,1894,2023-10-18
INV-00869,248,2023-06-07
INV-00870,3451,2023-05-12
INV-00871,1035,2023-01-14
INV-00872,1205,2023-07-28
INV-00873,3029,2023-01-02
INV-00874,993,2023-10-16
INV-00875,5298,2023-08-18
INV-00876,251,2023-05-09
INV-00877,4270,2023-01-17
INV-00878,3517,2023-12-10
INV-00879,2610,2023-10-08
INV-00880,5712,2023-04-26
INV-00881,3251,2023-10-20
