AllocationID,AllocationDate,DepartmentID,ReturnDate,EquipmentID
AL0208,3/22/2023,11,4/2/2023,208
AL0209,1/7/2023,12,1/19/2023,209
AL0210,3/27/2023,13,4/10/2023,210
AL0211,7/5/2023,14,7/18/2023,211
AL0212,10/25/2023,15,11/9/2023,212
AL0213,5/28/2023,16,6/9/2023,213
AL0214,10/28/2023,17,11/8/2023,214
AL0215,3/23/2023,18,4/3/2023,215
AL0216,12/2/2023,19,12/14/2023,216
AL0217,3/11/2023,20,3/21/2023,217
AL0218,6/29/2023,21,7/11/2023,218
AL0219,4/5/2023,22,4/16/2023,219
AL0220,11/29/2023,23,12/12/2023,220
AL0221,1/13/2023,24,1/23/2023,221
AL0222,8/7/2023,25,8/22/2023,222
AL0223,10/6/2023,26,10/20/2023,223
AL0224,7/25/2023,27,8/8/2023,224
AL0225,5/11/2023,28,5/23/2023,225
AL0226,2/7/2023,29,2/19/2023,226
AL0227,8/24/2023,30,9/8/2023,227
AL0228,1/12/2023,31,1/26/2023,228
AL0229,9/6/2023,32,9/19/2023,229
AL0230,4/17/2023,33,4/27/2023,230
AL0231,9/5/2023,34,9/19/2023,231
AL0232,5/12/2023,35,5/23/2023,232
AL0233,4/29/2023,36,5/12/2023,233
AL0234,9/22/2023,37,10/6/2023,234
AL0235,9/17/2023,38,10/1/2023,235
AL0236,7/18/2023,39,8/2/2023,236
AL0237,7/11/2023,40,7/23/2023,237
AL0238,11/10/2023,41,11/20/2023,238
AL0239,11/22/2023,42,12/5/2023,239
AL0240,1/7/2023,43,1/19/2023,240
AL0241,9/11/2023,44,9/25/2023,241
AL0242,12/8/2023,45,12/22/2023,242
AL0243,10/30/2023,46,11/12/2023,243
AL0244,2/21/2023,47,3/5/2023,244
AL0245,11/2/2023,48,11/15/2023,245
AL0246,10/14/2023,49,10/24/2023,246
AL0247,5/29/2023,50,6/12/2023,247
AL0248,5/6/2023,51,5/20/2023,248
AL0249,11/3/2023,52,11/17/2023,249
AL0250,8/31/2023,53,9/12/2023,250
AL0251,10/23/2023,54,11/5/2023,251
AL0252,9/10/2023,55,9/25/2023,252
AL0253,8/13/2023,56,8/28/2023,253
AL0254,12/9/2023,57,12/23/2023,254
AL0255,10/26/2023,58,11/10/2023,255
AL0256,12/4/2023,59,12/17/2023,256
AL0257,9/4/2023,60,9/14/2023,257
AL0258,6/29/2023,61,7/13/2023,258
AL0259,9/26/2023,62,10/9/2023,259
AL0260,11/3/2023,63,11/18/2023,260
AL0261,9/21/2023,64,10/4/2023,261
AL0262,3/15/2023,65,3/25/2023,262
AL0263,6/22/2023,66,7/2/2023,263
AL0264,10/1/2023,67,10/15/2023,264
AL0265,12/22/2023,68,1/4/2024,265
AL0266,6/7/2023,69,6/17/2023,266
AL0267,3/9/2023,70,3/24/2023,267
AL0268,12/6/2023,71,12/21/2023,268
AL0269,7/29/2023,72,8/13/2023,269
AL0270,2/7/2023,73,2/20/2023,270
AL0271,10/18/2023,74,10/31/2023,271
AL0272,4/23/2023,75,5/5/2023,272
AL0273,12/5/2023,76,12/20/2023,273
AL0274,2/1/2023,77,2/14/2023,274
AL0275,12/24/2023,78,1/3/2024,275
AL0276,6/22/2023,79,7/6/2023,276
AL0277,2/2/2023,80,2/15/2023,277
AL0278,12/4/2023,81,12/17/2023,278
AL0279,2/17/2023,82,3/2/2023,279
AL0280,11/1/2023,83,11/14/2023,280
AL0281,8/25/2023,84,9/9/2023,281
AL0282,12/29/2023,85,1/8/2024,282
AL0283,10/18/2023,86,10/29/2023,283
AL0284,1/31/2023,87,2/15/2023,284
AL0285,5/23/2023,88,6/2/2023,285
AL0286,4/4/2023,89,4/18/2023,286
AL0287,11/4/2023,90,11/17/2023,287
AL0288,5/10/2023,91,5/24/2023,288
AL0289,12/15/2023,92,12/25/2023,289
AL0290,7/18/2023,93,7/29/2023,290
AL0291,11/14/2023,94,11/28/2023,291
AL0292,8/1/2023,95,8/16/2023,292
AL0293,12/26/2023,96,1/10/2024,293
AL0294,9/25/2023,97,10/7/2023,294
AL0295,9/5/2023,98,9/17/2023,295
AL0296,3/17/2023,99,3/30/2023,296
AL0297,3/31/2023,100,4/11/2023,297
AL0298,6/28/2023,101,7/12/2023,298
AL0299,12/20/2023,102,12/30/2023,299
AL0300,11/13/2023,103,11/25/2023,300
AL0301,10/29/2023,104,11/9/2023,301
AL0302,3/1/2023,105,3/11/2023,302
AL0303,7/9/2023,106,7/24/2023,303
AL0304,1/29/2023,107,2/10/2023,304
AL0305,12/29/2023,108,1/12/2024,305
AL0306,6/21/2023,109,7/6/2023,306
AL0307,9/18/2023,110,10/1/2023,307
AL0308,7/3/2023,111,7/15/2023,308
AL0309,9/8/2023,112,9/19/2023,309
AL0310,7/14/2023,113,7/24/2023,310
AL0311,6/2/2023,114,6/13/2023,311
AL0312,1/25/2023,115,2/8/2023,312
AL0313,2/16/2023,116,2/28/2023,313
AL0314,1/26/2023,117,2/7/2023,333
AL0315,1/3/2023,118,1/17/2023,334
AL0316,3/29/2023,119,4/9/2023,335
AL0317,3/2/2023,120,3/12/2023,336
AL0318,10/20/2023,121,11/1/2023,337
AL0319,7/29/2023,122,8/11/2023,338
AL0320,12/17/2023,123,12/27/2023,339
AL0321,9/19/2023,124,9/29/2023,340
AL0322,1/2/2023,125,1/13/2023,341
AL0323,10/7/2023,126,10/21/2023,342
AL0324,1/4/2023,127,1/17/2023,343
AL0325,1/11/2023,128,1/25/2023,344
AL0326,8/19/2023,129,9/2/2023,345
AL0327,12/21/2023,130,12/31/2023,346
AL0328,3/10/2023,131,3/23/2023,347
AL0329,5/19/2023,132,5/30/2023,348
AL0330,1/14/2023,133,1/26/2023,349
AL0331,2/24/2023,134,3/10/2023,350
AL0332,5/2/2023,135,5/14/2023,351
AL0333,9/4/2023,136,9/18/2023,352
AL0334,3/21/2023,137,4/4/2023,353
AL0335,12/26/2023,138,1/7/2024,354
AL0336,4/3/2023,139,4/15/2023,355
AL0337,4/18/2023,140,4/28/2023,356
AL0338,7/28/2023,141,8/9/2023,357
AL0339,12/21/2023,142,1/2/2024,358
AL0340,6/5/2023,143,6/19/2023,359
AL0341,3/9/2023,144,3/20/2023,360
AL0342,7/14/2023,145,7/24/2023,361
AL0343,12/12/2023,146,12/27/2023,362
AL0344,7/2/2023,147,7/13/2023,363
AL0345,11/20/2023,148,12/4/2023,364
AL0346,4/23/2023,149,5/8/2023,365
AL0347,4/8/2023,150,4/20/2023,366
AL0348,8/20/2023,151,9/4/2023,367
AL0349,2/14/2023,152,2/25/2023,368
AL0350,11/23/2023,153,12/4/2023,369
AL0351,10/12/2023,154,10/25/2023,370
AL0352,4/17/2023,155,5/1/2023,371
AL0353,6/2/2023,156,6/16/2023,372
AL0354,6/10/2023,157,6/25/2023,373
AL0355,3/21/2023,158,4/1/2023,374
AL0356,4/20/2023,159,5/1/2023,375
AL0357,1/24/2023,160,2/3/2023,376
AL0358,2/7/2023,161,2/17/2023,377
AL0359,6/12/2023,162,6/23/2023,378
AL0360,3/21/2023,163,4/3/2023,379
AL0361,7/5/2023,164,7/19/2023,380
AL0362,9/24/2023,165,10/7/2023,381
AL0363,3/18/2023,166,3/30/2023,382
AL0364,1/9/2023,167,1/21/2023,383
AL0365,3/10/2023,168,3/20/2023,384
AL0366,8/8/2023,169,8/22/2023,385
AL0367,12/11/2023,170,12/26/2023,386
AL0368,10/17/2023,171,10/29/2023,387
AL0369,1/7/2023,172,1/17/2023,388
AL0370,8/30/2023,173,9/13/2023,389
AL0371,8/22/2023,174,9/1/2023,390
AL0372,1/18/2023,175,1/28/2023,391
AL0373,5/19/2023,176,6/2/2023,392
AL0374,7/1/2023,177,7/16/2023,393
AL0375,1/22/2023,178,2/2/2023,394
AL0376,11/22/2023,179,12/5/2023,395
AL0377,10/4/2023,180,10/14/2023,396
AL0378,3/22/2023,181,4/6/2023,397
AL0379,2/7/2023,182,2/17/2023,398
AL0380,11/18/2023,183,11/30/2023,399
AL0381,7/16/2023,184,7/28/2023,400
AL0382,1/2/2023,185,1/14/2023,401
AL0383,1/11/2023,186,1/24/2023,402
AL0384,12/1/2023,187,12/15/2023,403
AL0385,9/23/2023,188,10/7/2023,404
AL0386,8/2/2023,189,8/14/2023,405
AL0387,12/9/2023,190,12/22/2023,406
AL0388,11/21/2023,191,12/1/2023,407
AL0389,5/15/2023,192,5/29/2023,408
AL0390,9/18/2023,193,10/1/2023,409
AL0391,10/7/2023,194,10/17/2023,410
AL0392,2/17/2023,195,3/4/2023,411
AL0393,5/11/2023,196,5/23/2023,412
AL0394,7/11/2023,197,7/26/2023,413
AL0395,6/18/2023,1,6/28/2023,414
AL0396,1/25/2023,2,2/4/2023,415
AL0397,9/11/2023,3,9/26/2023,416
AL0398,5/3/2023,4,5/16/2023,417
AL0399,3/19/2023,5,3/30/2023,418
AL0400,11/14/2023,6,11/29/2023,419
AL0401,8/9/2023,7,8/19/2023,420
AL0402,5/5/2023,8,5/20/2023,421
AL0403,5/31/2023,9,6/14/2023,422
AL0404,8/29/2023,10,9/13/2023,423
AL0405,10/3/2023,11,10/14/2023,424
AL0406,2/2/2023,12,2/14/2023,425
AL0407,7/1/2023,13,7/14/2023,426
AL0408,11/26/2023,14,12/10/2023,427
AL0409,4/17/2023,15,4/27/2023,428
AL0410,11/14/2023,16,11/29/2023,429
AL0411,7/31/2023,17,8/12/2023,430
AL0412,12/8/2023,18,12/18/2023,431
AL0413,11/29/2023,19,12/9/2023,432
AL0414,11/2/2023,20,11/15/2023,433
AL0415,8/1/2023,21,8/16/2023,434
AL0416,5/12/2023,22,5/23/2023,435
AL0417,3/13/2023,23,3/28/2023,436
AL0418,1/23/2023,24,2/3/2023,437
AL0419,11/19/2023,25,12/4/2023,438
AL0420,12/29/2023,26,1/12/2024,439
AL0421,4/14/2023,27,4/26/2023,440
AL0422,12/27/2023,28,1/8/2024,441
AL0423,10/4/2023,29,10/17/2023,442
AL0424,10/2/2023,30,10/17/2023,443
AL0425,6/30/2023,31,7/12/2023,444
AL0426,9/29/2023,32,10/11/2023,445
AL0427,6/16/2023,33,6/26/2023,446
AL0428,12/15/2023,34,12/29/2023,447
AL0429,12/2/2023,35,12/14/2023,448
AL0430,9/21/2023,36,10/1/2023,449
AL0431,7/11/2023,37,7/22/2023,450
AL0432,6/13/2023,38,6/26/2023,451
AL0433,12/7/2023,39,12/21/2023,452
AL0434,7/15/2023,40,7/29/2023,453
AL0435,8/12/2023,41,8/22/2023,454
AL0436,4/15/2023,42,4/26/2023,455
AL0437,12/23/2023,43,1/5/2024,456
AL0438,7/25/2023,44,8/4/2023,457
AL0439,2/8/2023,45,2/20/2023,458
AL0440,10/4/2023,46,10/14/2023,459
AL0441,9/8/2023,47,9/22/2023,460
AL0442,10/15/2023,48,10/27/2023,461
AL0443,1/19/2023,49,2/1/2023,462
AL0444,8/9/2023,50,8/22/2023,463
AL0445,5/4/2023,51,5/19/2023,464
AL0446,8/5/2023,52,8/17/2023,465
AL0447,12/27/2023,53,1/11/2024,466
AL0448,12/25/2023,54,1/5/2024,467
AL0449,4/1/2023,55,4/15/2023,468
AL0450,8/31/2023,56,9/13/2023,469
AL0451,1/20/2023,57,2/4/2023,470
AL0452,7/3/2023,58,7/14/2023,471
AL0453,5/4/2023,59,5/16/2023,472
AL0454,6/7/2023,60,6/19/2023,473
AL0455,4/12/2023,61,4/26/2023,474
AL0456,5/24/2023,62,6/6/2023,475
AL0457,2/14/2023,63,2/24/2023,476
AL0458,1/23/2023,64,2/2/2023,477
AL0459,2/18/2023,65,2/28/2023,478
AL0460,3/8/2023,66,3/21/2023,479
AL0461,11/22/2023,67,12/7/2023,480
AL0462,1/10/2023,68,1/20/2023,481
AL0463,10/18/2023,69,11/1/2023,482
AL0464,8/21/2023,70,9/1/2023,483
AL0465,5/2/2023,71,5/17/2023,484
AL0466,8/18/2023,72,8/31/2023,485
AL0467,7/8/2023,73,7/23/2023,486
AL0468,9/7/2023,74,9/18/2023,487
AL0469,10/19/2023,75,11/1/2023,488
AL0470,4/8/2023,76,4/23/2023,489
AL0471,10/15/2023,77,10/27/2023,490
AL0472,12/5/2023,78,12/18/2023,491
AL0473,11/5/2023,79,11/18/2023,492
AL0474,7/6/2023,80,7/16/2023,493
AL0475,5/7/2023,81,5/18/2023,494
AL0476,10/29/2023,82,11/12/2023,495
AL0477,5/24/2023,83,6/4/2023,496
AL0478,7/12/2023,84,7/22/2023,497
AL0479,1/4/2023,85,1/16/2023,498
AL0480,5/12/2023,86,5/26/2023,499
AL0481,2/7/2023,87,2/17/2023,500
AL0482,3/7/2023,88,3/17/2023,501
AL0483,10/10/2023,89,10/24/2023,502
AL0484,8/11/2023,90,8/21/2023,503
AL0485,4/7/2023,91,4/20/2023,504
AL0486,10/15/2023,92,10/27/2023,505
AL0487,6/30/2023,93,7/10/2023,506
AL0488,4/15/2023,94,4/27/2023,507
AL0489,10/18/2023,95,10/29/2023,508
AL0490,3/5/2023,96,3/16/2023,509
AL0491,1/18/2023,97,2/1/2023,510
AL0492,12/14/2023,98,12/25/2023,511
AL0493,7/19/2023,99,8/3/2023,512
AL0494,6/19/2023,100,6/30/2023,513
AL0495,5/27/2023,101,6/11/2023,514
AL0496,3/9/2023,102,3/21/2023,515
AL0497,12/6/2023,103,12/17/2023,516
AL0498,11/22/2023,104,12/2/2023,517
AL0499,8/19/2023,105,9/2/2023,518
AL0500,9/29/2023,106,10/10/2023,519
AL0501,3/30/2023,107,4/13/2023,520
AL0502,10/11/2023,108,10/26/2023,521
AL0503,10/21/2023,109,11/3/2023,522
AL0504,3/27/2023,110,4/6/2023,523
AL0505,1/27/2023,111,2/10/2023,524
AL0506,9/27/2023,112,10/8/2023,525
AL0507,10/29/2023,113,11/10/2023,526
AL0508,4/6/2023,114,4/21/2023,527
AL0509,4/21/2023,115,5/2/2023,528
AL0510,1/23/2023,116,2/5/2023,529
AL0511,7/24/2023,117,8/3/2023,530
AL0512,10/16/2023,118,10/26/2023,531
AL0513,3/31/2023,119,4/13/2023,532
AL0514,3/27/2023,120,4/9/2023,533
AL0515,1/19/2023,121,1/31/2023,534
AL0516,2/16/2023,122,3/2/2023,535
AL0517,3/30/2023,123,4/14/2023,536
AL0518,10/31/2023,124,11/11/2023,537
AL0519,10/29/2023,125,11/12/2023,538
AL0520,5/12/2023,126,5/25/2023,539
AL0521,7/27/2023,127,8/8/2023,540
AL0522,2/18/2023,128,3/1/2023,541
AL0523,9/16/2023,129,9/27/2023,542
AL0524,6/29/2023,130,7/9/2023,543
AL0525,10/16/2023,131,10/31/2023,544
AL0526,5/25/2023,132,6/4/2023,545
AL0527,5/24/2023,133,6/7/2023,546
AL0528,10/30/2023,134,11/11/2023,547
AL0529,11/19/2023,135,11/30/2023,548
AL0530,8/1/2023,136,8/16/2023,549
AL0531,1/1/2024,137,1/15/2024,550
AL0532,10/22/2023,138,11/4/2023,551
AL0533,9/16/2023,139,9/29/2023,552
AL0534,3/25/2023,140,4/9/2023,553
AL0535,2/23/2023,141,3/5/2023,554
AL0536,3/22/2023,142,4/6/2023,555
AL0537,3/7/2023,143,3/21/2023,556
AL0538,9/30/2023,144,10/13/2023,557
AL0539,4/10/2023,145,4/20/2023,558
AL0540,10/11/2023,146,10/25/2023,559
AL0541,9/26/2023,147,10/11/2023,560
AL0542,9/3/2023,148,9/15/2023,561
AL0543,10/21/2023,149,10/31/2023,562
AL0544,9/25/2023,150,10/8/2023,563
AL0545,10/29/2023,151,11/9/2023,564
AL0546,4/7/2023,152,4/17/2023,565
AL0547,9/27/2023,153,10/9/2023,566
AL0548,9/15/2023,154,9/30/2023,567
AL0549,12/5/2023,155,12/19/2023,568
AL0550,5/26/2023,156,6/6/2023,569
AL0551,12/15/2023,157,12/29/2023,570
AL0552,12/16/2023,158,12/28/2023,571
AL0553,3/25/2023,159,4/7/2023,572
AL0554,2/6/2023,160,2/19/2023,573
AL0555,2/15/2023,161,2/28/2023,574
AL0556,3/23/2023,162,4/3/2023,575
AL0557,12/4/2023,163,12/17/2023,576
AL0558,12/4/2023,164,12/16/2023,577
AL0559,3/1/2023,165,3/12/2023,578
AL0560,7/15/2023,166,7/27/2023,579
AL0561,11/13/2023,167,11/23/2023,580
AL0562,8/19/2023,168,8/31/2023,581
AL0563,3/10/2023,169,3/25/2023,582
AL0564,1/24/2023,170,2/5/2023,583
AL0565,6/1/2023,171,6/14/2023,584
AL0566,5/4/2023,172,5/16/2023,585
AL0567,6/26/2023,173,7/8/2023,586
AL0568,9/19/2023,174,10/1/2023,587
AL0569,6/27/2023,175,7/12/2023,588
AL0570,12/18/2023,176,12/28/2023,589
AL0571,2/16/2023,177,3/1/2023,590
AL0572,1/19/2023,178,1/31/2023,591
AL0573,2/24/2023,179,3/10/2023,592
AL0574,1/22/2023,180,2/5/2023,593
AL0575,5/30/2023,181,6/10/2023,594
AL0576,12/16/2023,182,12/30/2023,595
AL0577,7/4/2023,183,7/18/2023,596
AL0578,3/20/2023,184,4/4/2023,597
AL0579,7/15/2023,185,7/28/2023,598
AL0580,1/7/2023,186,1/19/2023,599
AL0581,6/11/2023,187,6/22/2023,600
AL0582,2/16/2023,188,2/26/2023,601
AL0583,10/25/2023,189,11/7/2023,602
AL0584,10/31/2023,190,11/14/2023,603
AL0585,5/8/2023,191,5/20/2023,604
AL0586,8/5/2023,192,8/17/2023,605
AL0587,5/29/2023,193,6/13/2023,606
AL0588,12/6/2023,194,12/19/2023,607
AL0589,11/24/2023,195,12/9/2023,608
AL0590,10/30/2023,196,11/11/2023,609
AL0591,7/7/2023,197,7/20/2023,610
AL0592,9/21/2023,1,10/2/2023,611
AL0593,12/4/2023,2,12/19/2023,612
AL0594,11/5/2023,3,11/16/2023,613
AL0595,2/12/2023,4,2/25/2023,614
AL0596,6/23/2023,5,7/3/2023,615
AL0597,5/19/2023,6,5/30/2023,616
AL0598,8/31/2023,7,9/11/2023,617
AL0599,10/1/2023,8,10/11/2023,618
AL0600,8/3/2023,9,8/13/2023,619
AL0601,9/25/2023,10,10/9/2023,620
AL0602,11/13/2023,11,11/25/2023,621
AL0603,5/21/2023,12,6/2/2023,622
AL0604,11/1/2023,13,11/12/2023,623
AL0605,11/25/2023,14,12/9/2023,624
