EquipmentName,EquipmentCode,RegulationID,DepartmentID,UserID
"Set, Tubing And Support, Ventilator (W Harness)",BZO,R014,74,74
"Monitor, Breathing Frequency",BZQ,R015,75,75
"Mixer, Breathing Gases, Anesthesia Inhalation",BZR,R016,76,76
Stethoscope Head,BZS,R017,77,77
"Stethoscope, Esophageal, With Electrical Conductors",BZT,R018,78,78
"Stethoscope, Esophageal",BZW,R019,79,79
"Vaporizer, Anesthesia, Non-Heated",CAD,R020,80,80
"Airway, Oropharyngeal, Anesthesiology",CAE,R021,81,81
Nebulizer (Direct Patient Interface),CAF,R022,82,82
"Circulator, Breathing-Circuit",CAG,R023,83,83
"Circuit, Breathing (W Connector, Adaptor, Y Piece)",CAI,R024,84,84
"Laryngoscope, Non-Rigid",CAL,R025,85,85
"Yoke Assembly, Medical Gas",CAM,R026,86,86
"Regulator, Pressure, Gas Cylinder",CAN,R027,87,87
"Airway, Esophageal (Obturator)",CAO,R028,88,88
"Monitor, Airway Pressure (Includes Gauge And/Or Alarm)",CAP,R029,89,89
"Cannula, Nasal, Oxygen",CAT,R030,90,90
"Generator, Oxygen, Portable",CAW,R001,91,91
"Flowmeter, Tube, Thorpe, Back-Pressure Compensated",CAX,R002,92,92
Anesthesia Conduction Kit,CAZ,R003,93,93
"Monitor, Air Embolism, Ultrasonic",CBA,R004,94,94
"Chamber, Hyperbaric",CBF,R005,95,95
"Spreader, Cuff",CBG,R006,96,96
"Device, Fixation, Tracheal Tube",CBH,R007,97,97
"Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)",CBI,R008,98,98
"Ventilator, Continuous, Facility Use",CBK,R009,99,99
"Absorbent, Carbon-Dioxide",CBL,R010,100,100
"Apparatus, Gas-Scavenging",CBN,R011,101,101
"Attachment, Intermittent Mandatory Ventilation (Imv)",CBO,R012,102,102
"Valve, Non-Rebreathing",CBP,R013,103,103
"Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)",CBQ,R014,104,104
"Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)",CBR,R015,105,105
"Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)",CBS,R016,106,106
Arterial Blood Sampling Kit,CBT,R017,107,107
"Analyzer, Ion, Hydrogen-Ion (Ph), Blood-Phase, Indwelling",CBZ,R018,108,108
"Analyzer, Gas, Carbon-Dioxide, Partial Pressure, Blood-Phase, Indwelling",CCC,R019,109,109
"Analyzer, Gas, Oxygen, Partial Pressure, Blood-Phase, Indwelling",CCE,R020,110,110
"Analyzer, Gas, Nitrogen, Gaseous-Phase",CCI,R021,111,111
"Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase",CCJ,R022,112,112
"Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase",CCK,R023,113,113
"Analyzer, Gas, Oxygen, Gaseous-Phase",CCL,R024,114,114
"Plethysmograph, Pressure",CCM,R025,115,115
"Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge",CCN,R026,116,116
"Bed, Rocking, Breathing Assist",CCO,R027,117,117
"Nebulizer, Medicinal, Non-Ventilatory (Atomizer)",CCQ,R028,118,118
"Applicator (Laryngo-Tracheal), Topical Anesthesia",CCT,R029,119,119
"Laryngoscope, Rigid",CCW,R030,120,120
"Support, Patient Position",CCX,R001,121,121
"Cylinder, Compressed Gas, And Valve",ECX,R002,122,122
"Brush, Cleaning, Tracheal Tube",EPE,R003,123,123
"Monitor, Apnea, Facility Use",FLS,R004,124,124
"Tent, Pediatric Aerosol",FNC,R005,125,125
"Hood, Oxygen, Infant",FOG,R006,126,126
Pneumotachometer,JAX,R007,127,127
"Support, Breathing Tube",JAY,R008,128,128
"Analyzer, Oxyhemoglobin Concentration, Blood-Phase, Indwelling",JED,R009,129,129
"Analyzer, Gas, Neon, Gaseous-Phase",JEF,R010,130,130
"Analyzer, Gas, Argon, Gaseous-Phase",JEG,R011,131,131
"Plethysmograph, Volume",JEH,R012,132,132
"Monitor, Lung Water Measurement",JEZ,R013,133,133
"Valve, Switching (Ploss)",JFE,R014,134,134
Tube Tracheostomy And Tube Cuff,JOH,R015,135,135
"Humidifier, Non-Direct Patient Interface (Home-Use)",KFZ,R016,136,136
"Mask, Oxygen, Non-Rebreathing",KGB,R017,137,137
"Gas, Collecting Vessel",KGK,R018,138,138
"Mask, Scavenging",KHA,R019,139,139
"Monitor, Oxygen, Cutaneous, For Infant Not Under Gas Anesthesia",KLK,R020,140,140
"Stimulator, Nerve, Peripheral, Electric",KOI,R021,141,141
"Monitor, Carbon-Dioxide, Cutaneous",LKD,R022,142,142
"Changer, Tube, Endotracheal",LNZ,R023,143,143
"Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia",LPP,R024,144,144
"Needle, Spinal, Short Term",MIA,R025,145,145
Ventilatory Effort Recorder,MNR,R026,146,146
"Ventilator, Continuous, Non-Life-Supporting",MNS,R027,147,147
"Ventilator, Continuous, Minimal Ventilatory Support, Facility Use",MNT,R028,148,148
Accessory To Continuous Ventilator (Respirator),MOD,R029,149,149
"Apparatus, Nitric Oxide Delivery",MRN,R030,150,150
"Apparatus, Nitric Oxide, Backup Delivery",MRO,R001,151,151
"Analyzer, Nitric Oxide",MRP,R002,152,152
"Analyzer, Nitrogen Dioxide",MRQ,R003,153,153
"Device, Heimlich Maneuver Assist",MZT,R004,154,154
"Conserver, Oxygen",NFB,R005,155,155
"Device, Positive Pressure Breathing, Intermittent",NHJ,R006,156,156
"Resuscitator, Manual, Non Self-Inflating",NHK,R007,157,157
"Analyzer, Gas, Desflurane, Gaseous-Phase (Anesthetic Concentration)",NHO,R008,158,158
"Analyzer, Gas, Sevoflurane, Gaseous-Phase (Anesthetic Concentration)",NHP,R009,159,159
"Analyzer, Gas, Isoflurane, Gaseous-Phase (Anesthetic Concentration)",NHQ,R010,160,160
"Tube, Tracheal, Reprocessed",NMA,R011,161,161
"Mask, Ventilator, Non-Continuous, Reprocessed",NMC,R012,162,162
"Needle, Spinal, Short Term, Reprocessed",NMR,R013,163,163
"Needle, Conduction, Anesthesia, Reprocessed",NNH,R014,164,164
"Continuous, Ventilator, Home Use",NOU,R015,165,165
"Monitor, Apnea, Home Use",NPF,R016,166,166
"Ventilator, Continuous, Minimal Ventilatory Support, Home Use",NQY,R017,167,167
"Spacer, Direct Patient Interface",NVO,R018,168,168
"Holding Chambers, Direct Patient Interface",NVP,R019,169,169
Tracheotomy Care Kit,NXA,R020,170,170
"Humidifier, Respiratory, Mask (Direct Patient Interface)",OBN,R021,171,171
Airway Suction Kit,OFO,R022,172,172
Anesthesia Kit,OFQ,R023,173,173
Tracheobronchial Suction Catheter Kit,OFR,R024,174,174
Tracheal Suction Set,OFS,R025,175,175
Spinal Epidural Anesthesia Kit,OFT,R026,176,176
Spinal Anesthesia Kit,OFU,R027,177,177
Regional Anesthesia Kit,OFV,R028,178,178
Blood Specimen Collection Kit (Excludes Hiv Testing),OFZ,R029,179,179
Brachial Plexus Anesthesia Kit,OGA,R030,180,180
Caudal Anesthesia Kit,OGB,R001,181,181
Continuous Brachial Plexus Block Tray,OGC,R002,182,182
Custom Anesthesia Tray,OGD,R003,183,183
Epidural Anesthesia Kit,OGE,R004,184,184
Glossopharyngeal Anesthesia Kit,OGF,R005,185,185
Humidifier Nebulizer Kit,OGG,R006,186,186
Laryngoscope Kit,OGH,R007,187,187
Nasal Endotracheal Tube Holder Kit,OGI,R008,188,188
Nerve Block Tray,OGJ,R009,189,189
Orotracheal Intubation Guide Kit,OGK,R010,190,190
Oxygen Administration Kit,OGL,R011,191,191
Medevac Use Oxygen Generator,OLF,R012,192,192
Mechanical Ventilator,ONZ,R013,193,193
Airway Monitoring System,OQU,R014,194,194
Non-Bronchoscopic Bronchoalveolar Lavage Catheter,OYI,R015,195,195
Oral Airway Assist,PHS,R016,196,196
Abnormal Breath Sound Device,PHZ,R017,197,197
External Airway,PMB,R018,1,198
Impedance Measuring Device Utilizing Oscillation Techniques,PNV,R019,2,199
Device Indicating An Exhalation Event,PRK,R020,3,200
"Analyzer, Nitrogen Dioxide, Exempt",PUG,R021,4,201
Pressure Monitoring (Air/Gas) Kit,PXE,R022,5,202
High Flow/High Velocity Humidified Oxygen Delivery Device,QAV,R023,6,203
Positive Airway Pressure System,QBY,R024,7,204
Retrograde Intubation Set,QCX,R025,8,205
Ventilatory Electrical Impedance Tomograph,QEB,R026,9,206
Ultrasound Guided Nerve Block Assist,QRG,R027,10,207
Adjunctive Pain Measurement Device For Anesthesiology,QVE,R028,11,208
Monitor For Opioid Induced Impairment Of Oxygenation,QVT,R029,12,209
"Oximeter, Ear",DPZ,R030,13,210
Oximeter,DQA,R001,14,211
"Apparatus, Suction, Patient Care",DWM,R002,15,212
"Oximeter, Reprocessed",NLF,R003,16,213
Lung Sound Monitor,OCR,R004,17,214
"Oximeter, Wellness",PGJ,R005,18,215
Pulse Oximeter For Low-Acuity Settings,QLS,R006,19,216
Intraoral Pressure Gradient Device,OZR,R007,20,217
"Laser, Neodymium:Yag, Pulmonary Surgery",LLO,R008,21,218
Device For Sleep Apnea Testing Based On Mandibular Movement,QRS,R009,22,219
"Catheter, Suction, Tracheobronchial, Reprocessed",NQV,R010,23,220
"Forceps, Biopsy, Electric Surgical Hemostasis Within Tracheobronchial Tree",QEC,R011,24,221
Isocapnic Ventilation Device,QFB,R012,25,222
Implanted Diaphragmatic/Phrenic Nerve Stimulator,GZE,R013,26,223
Portable Liquid Oxygen Unit Stand,PCM,R014,27,224
"Prosthesis, Tracheal, Expandable",JCT,R015,28,225
Absorbable Lung Biopsy Plug,OMT,R016,29,226
"Analyzer, Gas, Nitrogen, Partial Pressure, Blood-Phase, Non-Indwelling",BSD,R017,30,227
"Ventilator, High Frequency",LSZ,R018,31,228
"Stimulator, Hypoglossal Nerve, Implanted, Apnea",MNQ,R019,32,229
"Valve, Pulmonary",NJK,R020,33,230
One-Way Air-Leak Valve,OAZ,R021,34,231
Diaphragmatic/Phrenic Nerve Laparoscopically-Implanted Stimulator,OIR,R022,35,232
Bronchial Thermoplasty System,OOY,R023,36,233
Computer-Assisted Personalized Sedation System,PDR,R024,37,234
Catheter Introducer,PNC,R025,38,235
Lung Tissue Sealant For Lung Volume Reduction,POI,R026,39,236
Implanted Phrenic Nerve Stimulator For Central Sleep Apnea,PSR,R027,40,237
Electrical Tumor Treatment Fields,QGZ,R028,41,238
"Inhaler, Metered Dose Or Dry Powder, Cder Or Cber Led",QKS,R029,42,239
"Vaporizer, Cder Or Cber Led",QLI,R030,43,240
Non-Continuous Ventilator For Emergency Use,QOQ,R001,44,241
"Continuous Ventilator, Minimal Ventilatory Support",QOR,R002,45,242
Emergency Resuscitator,QOU,R003,46,243
Ventilatory Assistance Helmet,QOW,R004,47,244
Neurological Stimulation For Emergency Use,QPR,R005,48,245
Software Option For Anesthesia Gas Machine To Achieve And Maintain Targeted End Tidal Oxygen And Anesthetic Agents,QSF,R006,49,246
Nitric Oxide Generator And Delivery System,QTB,R007,50,247
"Calculator, Drug Dose",NDC,R008,51,248
"Zimmerman (Spectrophotometric), 17-Ketosteroids",CCY,R009,52,249
"Zimmerman/Norymberski, 17-Ketogenic Steroids",CCZ,R010,53,250
"Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin",CDA,R011,54,251
"Porter Silber Hydrazone, 17-Hydroxycorticosteroids",CDB,R012,55,252
"L-Leucyl B-Naphthylamide, Leucine Aminopeptidase",CDC,R013,56,253
"Radioassay, Vitamin B12",CDD,R014,57,254
"Chromatographic Separation/Zimmerman, 17-Ketosteroids",CDE,R015,58,255
"Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin",CDF,R016,59,256
Chromatography Separation/Zimmerman 17-Ketogenic Steroids,CDG,R017,60,257
"Acid, Uric, Phosphotungstate Reduction",CDH,R018,61,258
"Acid, Vanilmandelic, Electrophoretic Separation",CDK,R019,62,259
"Berthelot Indophenol, Urea Nitrogen",CDL,R020,63,260
"Diazonium Colorimetry, Urobilinogen (Urinary, Non-Quant.)",CDM,R021,64,261
"Urease, Photometric, Urea Nitrogen",CDN,R022,65,262
"Acid, Uric, Uricase (U.V.)",CDO,R023,66,263
"Radioimmunoassay, Total Triiodothyronine",CDP,R024,67,264
"Urease And Glutamic Dehydrogenase, Urea Nitrogen",CDQ,R025,68,265
"1-Nitroso-2-Naphthol (Fluorometric), Free Tyrosine",CDR,R026,69,266
"Electrode, Ion Specific, Urea Nitrogen",CDS,R027,70,267
"Lipase Hydrolysis/Glycerol Kinase Enzyme, Triglycerides",CDT,R028,71,268
"Diacetyl-Monoxime, Urea Nitrogen",CDW,R029,72,269
"Radioimmunoassay, Total Thyroxine",CDX,R030,73,270
"Radioimmunoassay, Testosterones And Dihydrotestosterone",CDZ,R001,74,271
Tlc Chromatographic Separation Triglycerides,CEA,R002,75,272
"Radioimmunoassay, Free Thyroxine",CEC,R003,76,273
"5-Amp-Phosphate Release (Colorimetric Test), 5'-Nucleotidase",CED,R004,77,274
"Radioimmunoassay, Thyroxine-Binding Globulin",CEE,R005,78,275
"Electrophoretic, Protein Fractionation",CEF,R006,79,276
"Uranyl Acetate/Zinc Acetate, Sodium",CEI,R007,80,277
"Tetraphenyl Borate, Colorimetry, Potassium",CEJ,R008,81,278
"Biuret (Colorimetric), Total Protein",CEK,R009,82,279
"Ammonium Molybdate And Ammonium Vanadate, Phospholipids",CEL,R010,83,280
"Electrode, Ion Specific, Potassium",CEM,R011,84,281
"Dye-Indicator, Ph (Urinary, Non-Quantitative)",CEN,R012,85,282
"Phosphomolybdate (Colorimetric), Inorganic Phosphorus",CEO,R013,86,283
"Radioimmunoassay, Luteinizing Hormone",CEP,R014,87,284
"Molybdenum Blue Method, Phospholipids",CEQ,R015,88,285
"2,4-Dinitrophenylhydrazine, Lactate Dehydrogenase",CER,R016,89,286
"Chromogenesis, Phenylketones (Urinary, Non-Quant.)",CES,R017,90,287
"Olive Oil Emulsion (Turbidimetric), Lipase",CET,R018,91,288
"Radioimmunoassay, Parathyroid Hormone",CEW,R019,92,289
"Chromatographic Separation, Lactate Dehydrogenase Isoenzymes",CEX,R020,93,290
"Electrode, Ion Specific, Magnesium",CFA,R021,94,291
"Chromatographic Derivative, Total Lipids",CFB,R022,95,292
"Sulfophosphovanillin, Colorimetry, Total Lipids",CFD,R023,96,293
"Electrophoretic, Lactate Dehydrogenase Isoenzymes",CFE,R024,97,294
"Oil Emulsion/Thymolphthalein (Titrimetric), Lipase",CFG,R025,98,295
"Tetrazolium Int Dye-Diaphorase, Lactate Dehydrogenase",CFH,R026,99,296
"Nad Reduction/Nadh Oxidation, Lactate Dehydrogenase",CFJ,R027,100,297
"Radioimmunoassay, Human Growth Hormone",CFL,R028,101,298
"Bathophenanthroline, Colorimetry, Iron (Non-Heme)",CFM,R029,102,299
"Titrimetric, Magnesium",CFO,R030,103,300
"Radioimmunoassay, Immunoreactive Insulin",CFP,R001,104,301
"Hexokinase, Glucose",CFR,R002,105,302
"Radioimmunoassay, Prolactin (Lactogen)",CFT,R003,106,303
"Copper Reduction, Glucose",CFW,R004,107,304
"Glucose Oxidase, Glucose",CGA,R005,108,305
"Radioimmunoassay, Gastrin",CGC,R006,109,306
"Ferricyanide, Glucose",CGD,R007,110,307
"Orthotoluidine, Glucose",CGE,R008,111,308
"Radioimmunoassay, Estrone",CGF,R009,112,309
"Electrophoretic, Globulin",CGH,R010,113,310
"Radioimmunoassay, Estriol",CGI,R011,114,311
"Radioimmunoassay, Follicle-Stimulating Hormone",CGJ,R012,115,312
"Electrode, Ion Based, Enzymatic, Creatinine",CGL,R013,116,313
"Acid, Folic, Radioimmunoassay",CGN,R014,117,314
"Lieberman-Burchard/Abell-Kendall, Colorimetric, Cholesterol",CGO,R015,118,315
"Radioimmunoassay, Cortisol",CGR,R016,119,316
"Nad Reduction/Nadh Oxidation, Cpk Or Isoenzymes",CGS,R017,120,317
"Radioimmunoassay, Cyclic Gmp",CGT,R018,121,318
"Alkaline Picrate, Colorimetry, Creatinine",CGX,R019,122,319
"Electrode, Ion-Specific, Chloride",CGZ,R020,123,320
"Radioimmunoassay, Corticosterone",CHA,R021,124,321
"Titrimetric Permanganate And Bromophenol Blue, Calcium",CHC,R022,125,322
"Acid, Ferric Ion-Sulfuric, Cholesterol",CHD,R023,126,323
"Radioimmunoassay, Corticoids",CHE,R024,127,324
"Acid, Phosphoric-Tungstic (Spectrophotometric), Chloride",CHG,R025,128,325
"Enzymatic Esterase--Oxidase, Cholesterol",CHH,R026,129,326
"Lipase-Esterase, Enzymatic, Photometric, Lipase",CHI,R027,130,327
"Mercuric Thiocyanate, Colorimetry, Chloride",CHJ,R028,131,328
"Mercuric Nitrate And Diphenyl Carbazone (Titrimetric), Chloride",CHK,R029,132,329
"Electrode Measurement, Blood-Gases (Pco2, Po2) And Blood Ph",CHL,R030,133,330
"Radioimmunoassay, Total Estrogens In Pregnancy",CHM,R001,134,331
"Radioimmunoassay, Cyclic Amp",CHO,R002,135,332
"Radioimmunoassay, Estradiol",CHP,R003,136,333
"Chromatographic/Fluorometric Method, Catecholamines",CHQ,R004,137,334
"Titrimetric Phenol Red, Carbon-Dioxide",CHR,R005,138,335
"Coulometric Method, Carbon-Dioxide",CHS,R006,139,336
"Electrophoretic Method, Catecholamines",CHT,R007,140,337
"Titrimetric With Edta And Indicator, Calcium",CHW,R008,141,338
"Di (O-Hydroxyphenylimine) Ethane, Calcium",CHZ,R009,142,339
"Methylthymol Blue, Calcium",CIA,R010,143,340
"Radioimmunoassay, Angiotensin I And Renin",CIB,R011,144,341
"Cresolphthalein Complexone, Calcium",CIC,R012,145,342
"Alizarin Sulfonate, Calcium",CID,R013,146,343
"Volumetric/Manometric, Carbon-Dioxide",CIE,R014,147,344
"Vanillin Pyruvate, Ast/Sgot",CIF,R015,148,345
"Diazo Colorimetry, Bilirubin",CIG,R016,149,346
"Saccharogenic, Amylase",CIJ,R017,150,347
"Radial Diffusion, Amylase",CIK,R018,151,348
"Cresol Red Colorimetry, Carbon-Dioxide",CIL,R019,152,349
"Electrophoretic Separation, Alkaline Phosphatase Isoenzymes",CIN,R020,153,350
"Thymolphthalein Monophosphate, Alkaline Phosphatase Or Isoenzymes",CIO,R021,154,351
"Diazo, Ast/Sgot",CIQ,R022,155,352
"Hydrazone Colorimetry, Ast/Sgot",CIS,R023,156,353
"Nadh Oxidation/Nad Reduction, Ast/Sgot",CIT,R024,157,354
"Starch-Dye Bound Polymer, Amylase",CIW,R025,158,355
"Bromcresol Green Dye-Binding, Albumin",CIX,R026,159,356
"Radioimmunoassay, Androsterone",CIY,R027,160,357
"Radioimmunoassay, Androstenedione",CIZ,R028,161,358
"Amyloclastic, Amylase",CJA,R029,162,359
"Chromatographic Separation/Radioimmunoassay, Aldosterone",CJB,R030,163,360
"Fructose-1, 6-Diphosphate And Nadh (U.V.), Aldolase",CJC,R001,164,361
"Nitrosalicylate Reduction, Amylase",CJD,R002,165,362
"Nitrophenylphosphate, Alkaline Phosphatase Or Isoenzymes",CJE,R003,166,363
"Tetrabromophenolphthalein, Albumin",CJF,R004,167,364
"Tetrabromo-M-Cresolsulfonphthalein, Albumin",CJG,R005,168,365
"Thymol Blue Monophosphate, Alkaline Phosphatase Or Isoenzymes",CJH,R006,169,366
"Disodium Phenylphosphate, Alkaline Phosphatase Or Isoenzymes",CJI,R007,170,367
"Diazo, Alt/Sgpt",CJJ,R008,171,368
"Phenolphthalein Phosphate, Alkaline Phosphatase Or Isoenzymes",CJK,R009,172,369
"Beta Glycerophosphate, Alkaline Phosphatase Or Isoenzymes",CJL,R010,173,370
"Radioimmunoassay, Aldosterone",CJM,R011,174,371
"Acid Phosphatase, Nitrophenylphosphate",CJN,R012,175,372
"Alpha-Naphthyl Phosphate, Alkaline Phosphatase Or Isoenzymes",CJO,R013,176,373
"Radial Immunodiffusion, Albumin",CJQ,R014,177,374
"Acid Phosphatase, Thymol Blue Monophosphate",CJR,R015,178,375
"Hydrazone Colorimetry, Aldolase",CJT,R016,179,376
"Bromcresol Purple Dye-Binding, Albumin",CJW,R017,180,377
"Acid Phosphatase, Disodium Phenylphosphate",CJX,R018,181,378
"Azo Dye, Calcium",CJY,R019,182,379
"Acid, Hydroxyazobenzene-Benzoic, Albumin",CJZ,R020,183,380
"Nadh Oxidation/Nad Reduction, Alt/Sgpt",CKA,R021,184,381
"Acid Phosphatase, Naphthyl Phosphate",CKB,R022,185,382
"Vanillin Pyruvate, Alt/Sgpt",CKC,R023,186,383
"Hydrazone Colorimetry, Alt/Sgpt",CKD,R024,187,384
"Acid Phosphatase, Thymolphthale Inmonophosphate",CKE,R025,188,385
"Phenylphosphate, Alkaline Phosphatase Or Isoenzymes",CKF,R026,189,386
"Radioimmunoassay, Acth",CKG,R027,190,387
"Acid Phosphatase, Beta Glycerophosphate",CKH,R028,191,388
"System, Test, Human Chorionic Gonadotropin",DHA,R029,192,389
"Tubes, Vacuum Sample, With Anticoagulant",GIM,R030,193,390
"Tray, Blood Collection",GJE,R001,194,391
"Mixer, Blood Tube",GLE,R002,195,392
"Timer, General Laboratory",JBS,R003,196,393
"Acid Phosphatase (Prostatic), Tartrate Inhibited",JFH,R004,197,394
"Catalytic Methods, Amylase",JFJ,R005,1,395
"Ph Rate Measurement, Carbon-Dioxide",JFL,R006,2,396
"Enzymatic Method, Bilirubin",JFM,R007,3,397
"Atomic Absorption, Calcium",JFN,R008,4,398
"Fluorometric, Calcium",JFO,R009,5,399
"Electrode, Ion Specific, Calcium",JFP,R010,6,400
"Coulometric, Chloride",JFS,R011,7,401
"Fluorometric, Cortisol",JFT,R012,8,402
"Enzymatic Method, Creatinine",JFY,R013,9,403
"Tryptophan Measurement (Colorimetric), Globulin",JGC,R014,10,404
"Nephelometric Method, Globulin",JGD,R015,11,405
"Turbidimetric Method, Globulin",JGE,R016,12,406
"Differential Rate Kinetic Method, Lactate Dehydrogenase Isoenzymes",JGF,R017,13,407
"L-Leucine-4-Nitroanilide (Colorimetric), Leucine Arylamidase",JGG,R018,14,408
"Atomic Absorption, Magnesium",JGI,R019,15,409
"Photometric Method, Magnesium",JGJ,R020,16,410
"Ferric Chloride, Phenylketones (Urinary, Non-Quant.)",JGK,R021,17,411
"Flame Photometry, Potassium",JGM,R022,18,412
"Lowry (Colorimetric), Total Protein",JGP,R023,19,413
"Turbidimetric, Total Protein",JGQ,R024,20,414
"Refractometric, Total Protein",JGR,R025,21,415
"Electrode, Ion Specific, Sodium",JGS,R026,22,416
"Flame Photometry, Sodium",JGT,R027,23,417
"Fluorometric Method, Triglycerides",JGW,R028,24,418
"Turbidimetric Method, Triglycerides",JGX,R029,25,419
"Colorimetric Method, Triglycerides",JGY,R030,26,420
"O-Phthalaldehyde, Urea Nitrogen",JGZ,R001,27,421
"Acid, Uric, Uricase (Gasometric)",JHA,R002,28,422
"Acid, Uric, Uricase (Oxygen Rate)",JHC,R003,29,423
"Fluorometric Method, 17-Hydroxycorticosteroids",JHD,R004,30,424
"Radioassay, 17-Hydroxycorticosteroids",JHE,R005,31,425
"Colorimetric Method, Lecithin/Sphingomyelin Ratio",JHF,R006,32,426
"Chromatographic Separation, Lecithin/Sphingomyelin Ratio",JHG,R007,33,427
"Electrophoretic Method, Lecithin/Sphingomyelin Ratio",JHH,R008,34,428
