OrderName,Description,ItemCode,ItemDescription,PartDescription,SupplierID,EquipmentID,TotalCost,Quantity
"Apparatus, Suction, Patient Care","Description for Apparatus, Suction, Patient Care",BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Swive Air Hose,14,2824,358.7071236,3
Tracheobronchial Suction Catheter Kit,Description for Tracheobronchial Suction Catheter Kit,BP0018,Motors/ Micromotors/ Carbon brushes,Fresenius 4008S Motor Assy Degassing Complete,15,5555,1711.392514,5
"Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia","Description for Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia",BP0003,Bulbs/ Lamps,PROJECTION LAMP 24V 250W OSRAM,16,5782,2266.635639,1
Oximeter,Description for Oximeter,BP0003,Bulbs/ Lamps,Bulb 12V 50W,17,131,3731.961178,9
"Cylinder, Compressed Gas, And Valve","Description for Cylinder, Compressed Gas, And Valve",BP0027,Switchs/ Knobs/Buttons,Fresenius 4008S Float Switch Complete,18,1243,2938.921916,7
"Cylinder, Compressed Gas, And Valve","Description for Cylinder, Compressed Gas, And Valve",BP0026,Solenoids/ Valves/ Gauges,Fresenius 4008S Reliief valve completed,19,331,2670.387005,6
"Conduction, Anesthetic Catheter","Description for Conduction, Anesthetic Catheter",BP0025,Sensors/ Detectors,SPO2 REUSABLE SENSOR PEDIATRIC LNCS DCIP,20,785,3182.982346,3
"Gas, Helium","Description for Gas, Helium",BP0021,Power Cords/ Adaptors (or any part of it),COMMON ITEM POWER CORD 3 MTR,21,5344,4790.135561,7
"Monitor, Carbon-Dioxide, Cutaneous","Description for Monitor, Carbon-Dioxide, Cutaneous",BP0011,Equipment Specific Parts,EQUIPMENT SPECIFIC PARTS (IN HOUSE),22,2376,1994.325095,3
"Spirometer, Diagnostic Meter, Peak Flow, Spirometry","Description for Spirometer, Diagnostic Meter, Peak Flow, Spirometry",BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Male & Female Connector,23,5796,2523.398345,3
Intraoral Pressure Gradient Device,Description for Intraoral Pressure Gradient Device,BP0006,Cuffs,X-Large Cuff Adult 1 TB,24,5824,3874.926964,2
"Generator, Oxygen, Portable Flowmeter, Tube, Thorpe, Back-Pressure Compensated","Description for Generator, Oxygen, Portable Flowmeter, Tube, Thorpe, Back-Pressure Compensated",BP0012,Filters,Diacap Ultra DF - Online Filter,25,4464,4285.400492,7
"Mask, Oxygen, Non-Rebreathing","Description for Mask, Oxygen, Non-Rebreathing",BP0003,Bulbs/ Lamps,Lamp for Laryngoscope,26,2390,2598.783437,5
Computer-Assisted Personalized Sedation System,Description for Computer-Assisted Personalized Sedation System,BP0001,Batteries/ UPS,Rechargeable Battery 12V 700Mah,27,3190,763.3368635,6
"Inhaler, Metered Dose Or Dry Powder, Cder Or Cber Led","Description for Inhaler, Metered Dose Or Dry Powder, Cder Or Cber Led",BP0004,Cables/ Lead Wires (or any part of it),NIHON KOHDEN CHEST ELECTROLUDE ADULT COMPLEX,28,3083,3065.578103,10
"Analyzer, Gas, Isoflurane, Gaseous-Phase (Anesthetic Concentration)","Description for Analyzer, Gas, Isoflurane, Gaseous-Phase (Anesthetic Concentration)",BP0003,Bulbs/ Lamps,BULB 6V 20W,29,4645,1957.97207,10
"Needle, Spinal, Short Term, Reprocessed","Description for Needle, Spinal, Short Term, Reprocessed",BP0003,Bulbs/ Lamps,Bulb WELCH ALLYN 03100,30,1843,4489.775896,7
"Bed, Rocking, Breathing Assist Nebulizer, Medicinal, Non-Ventilatory (Atomizer)","Description for Bed, Rocking, Breathing Assist Nebulizer, Medicinal, Non-Ventilatory (Atomizer)",BP0003,Bulbs/ Lamps,3.5v Streak Lamp 08200,31,4054,4263.398547,5
Ultrasound Guided Nerve Block Assist,Description for Ultrasound Guided Nerve Block Assist,BP0001,Batteries/ UPS,BATTERY SERVO-I MARQUET,32,5778,649.3506788,5
"Analyzer, Gas, Argon, Gaseous-Phase","Description for Analyzer, Gas, Argon, Gaseous-Phase",BP0001,Batteries/ UPS,BATTERY LITHIUM ION,33,571,963.8543948,1
Nerve Block Tray,Description for Nerve Block Tray,BP0004,Cables/ Lead Wires (or any part of it),Transpac IV Cable HP PHILIPS,34,2302,395.9746283,6
"Gauge, Gas Pressure, Cylinder/Pipeline","Description for Gauge, Gas Pressure, Cylinder/Pipeline",BP0004,Cables/ Lead Wires (or any part of it),SPO2 Adult Finger Clip Sensor M1196A,35,5139,1811.471994,4
"Flowmeter, Calibration, Gas","Description for Flowmeter, Calibration, Gas",BP0001,Batteries/ UPS,Battery 6v 2200 mah,36,5785,4145.743573,4
"Device, Rebreathing Tubing, Pressure And Accessories","Description for Device, Rebreathing Tubing, Pressure And Accessories",BP0003,Bulbs/ Lamps,300 Watts Xenon Lamp,37,3619,3810.272866,7
Tube Tracheostomy And Tube Cuff,Description for Tube Tracheostomy And Tube Cuff,BP0006,Cuffs,CUFF S/H ADULT (PHILIPS),38,1709,3009.204034,8
"Clip, Nose Gas, Calibration (Specified Concentration)","Description for Clip, Nose Gas, Calibration (Specified Concentration)",BP0025,Sensors/ Detectors,Oxygen Sensor,39,3879,2353.100717,7
"Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)","Description for Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)",BP0004,Cables/ Lead Wires (or any part of it),POWER CORD 5 METER 3 PIN,40,2328,4425.789103,5
"Zimmerman/Norymberski, 17-Ketogenic Steroids","Description for Zimmerman/Norymberski, 17-Ketogenic Steroids",BP0011,Equipment Specific Parts,Power Board,41,2352,4432.914925,9
"Protector, Dental Stool","Description for Protector, Dental Stool",BP0004,Cables/ Lead Wires (or any part of it),Cable 5 leadset grabber M1971A,42,5146,433.1858802,9
"Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen","Description for Monitor, Airway Pressure (Includes Gauge And/Or Alarm) Cannula, Nasal, Oxygen",BP0011,Equipment Specific Parts,MAINTAINANCE SPARE PART (IN HOUSE),43,1891,393.0695924,8
Adjunctive Pain Measurement Device For Anesthesiology,Description for Adjunctive Pain Measurement Device For Anesthesiology,BP0006,Cuffs,Cuff Connector Female,44,2684,2240.279825,6
Spinal Anesthesia Kit,Description for Spinal Anesthesia Kit,BP0012,Filters,Cotton Filter-20 Inch,45,5994,1350.157095,9
"Device, Positive Pressure Breathing, Intermittent","Description for Device, Positive Pressure Breathing, Intermittent",BP0004,Cables/ Lead Wires (or any part of it),"MINDRAY SPO2 Extension Cable, Sensor 2.4m (0010-20-42594)",46,5575,3452.172051,4
"Radioassay, Vitamin B12","Description for Radioassay, Vitamin B12",BP0025,Sensors/ Detectors,SIEMENS SERVO 9000 OXYGEN SENSOR OOM202,47,867,4458.935876,8
"Monitor, Apnea, Facility Use","Description for Monitor, Apnea, Facility Use",BP0010,Electronic Components,PETTY CASH,48,1090,2592.543926,5
Airway Monitoring System,Description for Airway Monitoring System,BP0006,Cuffs,Cuff Connector Male,49,1173,4693.993884,7
"Mask, Scavenging","Description for Mask, Scavenging",BP0001,Batteries/ UPS,Rechargeable Battery,50,5036,930.6475607,3
"Applicator (Laryngo-Tracheal), Topical Anesthesia","Description for Applicator (Laryngo-Tracheal), Topical Anesthesia",BP0026,Solenoids/ Valves/ Gauges,Vent. Exhalation Valve Assy,51,5169,4095.983025,6
"Tent, Pediatric Aerosol","Description for Tent, Pediatric Aerosol",BP0026,Solenoids/ Valves/ Gauges,VALVE SPRING SET BIC-4008/S V10,52,688,2252.922059,6
"Forceps, Biopsy, Electric Surgical Hemostasis Within Tracheobronchial Tree","Description for Forceps, Biopsy, Electric Surgical Hemostasis Within Tracheobronchial Tree",BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,"Battery Cover Assembly ,TOP 3300",53,5305,1576.728088,2
"Stylet, Tracheal Tube","Description for Stylet, Tracheal Tube",BP0025,Sensors/ Detectors,Oxygen Sensor,54,5882,3522.702456,2
"Attachment, Intermittent Mandatory Ventilation (Imv)","Description for Attachment, Intermittent Mandatory Ventilation (Imv)",BP0025,Sensors/ Detectors,Drop Sensor TOP 3300 (89T) T6330522,55,437,4116.255622,7
Implanted Diaphragmatic/Phrenic Nerve Stimulator,Description for Implanted Diaphragmatic/Phrenic Nerve Stimulator,BP0011,Equipment Specific Parts,900MR858 Electrical Adaptor,56,2077,177.1566461,10
"Oximeter, Ear","Description for Oximeter, Ear",BP0026,Solenoids/ Valves/ Gauges,Solenoid Valve (Chamber),57,5627,3577.781723,2
"Chamber, Hyperbaric Spreader, Cuff","Description for Chamber, Hyperbaric Spreader, Cuff",BP0004,Cables/ Lead Wires (or any part of it),ECG 3 LEAD TRUNK CABLE,58,5127,4109.951744,6
"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer","Description for Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",BP0025,Sensors/ Detectors,ANASTHESIA,59,5526,4408.737989,7
"Spacer, Direct Patient Interface","Description for Spacer, Direct Patient Interface",BP0004,Cables/ Lead Wires (or any part of it),Cable 5 lead ECG trunk M1668A,60,4149,4443.427118,8
"Laryngoscope, Rigid","Description for Laryngoscope, Rigid",BP0025,Sensors/ Detectors,Oxygen Sensor (OOM102-1),61,1623,4947.205169,2
"Changer, Tube, Endotracheal","Description for Changer, Tube, Endotracheal",BP0001,Batteries/ UPS,"Rechargeable Battery 11.1V, Mindray iMEC8",62,4358,880.6670184,2
Epidural Anesthesia Kit,Description for Epidural Anesthesia Kit,BP0012,Filters,Diasafe Plus Filter,63,1808,3256.866347,8
"Attachment, Breathing, Positive End Expiratory Pressure","Description for Attachment, Breathing, Positive End Expiratory Pressure",BP0023,PPM/ Service/Maintenance/ Repair Kits,Fresenius 4008S PPM Kit Yearly,64,1453,4893.191103,7
"Tube, Tracheal, Reprocessed","Description for Tube, Tracheal, Reprocessed",BP0003,Bulbs/ Lamps,"Bulb 24 V 150 W, OSRAM",65,4772,2631.173902,6
"Ventilator, Continuous, Facility Use","Description for Ventilator, Continuous, Facility Use",BP0006,Cuffs,Cuff Cylindrical 34 Ats,66,408,3149.647378,3
Intraoral Pressure Gradient Device,Description for Intraoral Pressure Gradient Device,BP0025,Sensors/ Detectors,SIPAP MACHINE OXYGEN SENSOR FABIAN OOM204,67,1169,3877.609024,7
"Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)","Description for Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)",BP0004,Cables/ Lead Wires (or any part of it),SCHILLER 10 LEAD ECG CABLE BANANA TYPE,68,5698,983.4646161,10
"Ventilator, Continuous, Non-Life-Supporting","Description for Ventilator, Continuous, Non-Life-Supporting",BP0003,Bulbs/ Lamps,Bulb 12V 100W (64627),69,1635,4933.681473,8
"Monitor, Apnea, Home Use","Description for Monitor, Apnea, Home Use",BP0011,Equipment Specific Parts,MMS Module,70,2198,2953.388934,6
Pneumotachometer,Description for Pneumotachometer,BP0001,Batteries/ UPS,BATTERY B. BRAUN INFUSOMAT,71,5074,3926.464431,9
"Needle, Spinal, Short Term","Description for Needle, Spinal, Short Term",BP0025,Sensors/ Detectors,Spo2 Sensor Adult Original DS100A,72,2479,1751.390938,7
Humidifier Nebulizer Kit,Description for Humidifier Nebulizer Kit,BP0024,Printed Circuit Boards (PCB; Other than Power Supply),MODULE MONTARA AM-12,73,5031,1380.288414,8
"Monitor, Oxygen, Cutaneous, For Infant Not Under Gas Anesthesia","Description for Monitor, Oxygen, Cutaneous, For Infant Not Under Gas Anesthesia",BP0028,Transducers/ Probes,Ultrasound Tranducer,74,2018,2847.376985,4
"Analyzer, Gas, Water Vapor, Gaseous-Phase","Description for Analyzer, Gas, Water Vapor, Gaseous-Phase",BP0004,Cables/ Lead Wires (or any part of it),ECG TRUNK CABLE PROPAQ LT 3 LEAD,75,4288,1528.72729,4
"Cuff, Tracheal Tube, Inflatable Filter","Description for Cuff, Tracheal Tube, Inflatable Filter",BP0004,Cables/ Lead Wires (or any part of it),EXTENSION CABLE TRUSIGNAL GE WITH CONNECTOR,76,4298,4654.575964,8
Caudal Anesthesia Kit,Description for Caudal Anesthesia Kit,BP0026,Solenoids/ Valves/ Gauges,RELEASE VALVE DIAPHRAGM,77,3611,4395.053287,10
"Transducer, Gas Pressure Transducer, Gas Flow","Description for Transducer, Gas Pressure Transducer, Gas Flow",BP0025,Sensors/ Detectors,Oxygen Cell OOM102,78,777,3018.924677,2
"Cylinder, Compressed Gas, And Valve","Description for Cylinder, Compressed Gas, And Valve",BP0003,Bulbs/ Lamps,LED BULB OPHTHALMOSCOPE,79,2816,306.2609837,4
"Mask, Oxygen, Low Concentration, Venturi Mask, Oxygen","Description for Mask, Oxygen, Low Concentration, Venturi Mask, Oxygen",BP0019,O-Rings/ Belts/ Seals/ Gaskets/ Washers,YELLOW BELT,80,503,4857.87859,7
"Conduction, Anesthetic Catheter","Description for Conduction, Anesthetic Catheter",BP0004,Cables/ Lead Wires (or any part of it),PHILIPS 5 LEAD TRUNK CABLE ECG M1530A,81,1758,1075.97463,10
Device For Sleep Apnea Testing Based On Mandibular Movement,Description for Device For Sleep Apnea Testing Based On Mandibular Movement,BP0025,Sensors/ Detectors,Spo2 finger sensor M1191BL,82,4550,3470.776973,4
Anesthesia Kit,Description for Anesthesia Kit,BP0003,Bulbs/ Lamps,Bulb Laryngoscope Adult Penlon 55091,83,3373,1217.144939,4
"Prosthesis, Tracheal, Expandable","Description for Prosthesis, Tracheal, Expandable",BP0011,Equipment Specific Parts,KEYPAD ORALIX,84,362,1384.337021,3
Custom Anesthesia Tray,Description for Custom Anesthesia Tray,BP0028,Transducers/ Probes,2Mhz Tranducer (Blue),85,4561,459.7480683,3
"Gas-Machine, Anesthesia Hook, Ether","Description for Gas-Machine, Anesthesia Hook, Ether",BP0011,Equipment Specific Parts,Water Trap,86,2434,3127.944494,5
"Mask, Ventilator, Non-Continuous, Reprocessed","Description for Mask, Ventilator, Non-Continuous, Reprocessed",BP0002,Blankets/ Mattresses,HUNTLEGLY RIPPLE MATTRESS,87,2748,1052.410766,7
"Acid, Vanilmandelic, Electrophoretic Separation","Description for Acid, Vanilmandelic, Electrophoretic Separation",BP0004,Cables/ Lead Wires (or any part of it),SPO2 FINGER SENSOR NIHON KOHDEN,88,883,2728.371192,5
"Calculator, Drug Dose","Description for Calculator, Drug Dose",BP0003,Bulbs/ Lamps,BULB OSRAM XBOR 300W/60C,89,3278,4310.092937,4
"Support, Patient Position","Description for Support, Patient Position",BP0004,Cables/ Lead Wires (or any part of it),ECG USB Cable,90,5153,1815.432057,1
Orotracheal Intubation Guide Kit,Description for Orotracheal Intubation Guide Kit,BP0011,Equipment Specific Parts,LED BULB 3.5V Opthalmoscope,91,4851,1365.448572,1
Tracheal Suction Set,Description for Tracheal Suction Set,BP0025,Sensors/ Detectors,"Spo2 Finger Sensor Adult, Trusat",92,3713,4214.542263,2
Medevac Use Oxygen Generator,Description for Medevac Use Oxygen Generator,BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,MATRESS SIDE 9MM CONNECTER,93,3284,2927.077022,3
"L-Leucyl B-Naphthylamide, Leucine Aminopeptidase","Description for L-Leucyl B-Naphthylamide, Leucine Aminopeptidase",BP0013,Heater Elements,"Heater 230-240Vac, 50/60Hz",94,1803,2335.32199,5
"Spacer, Direct Patient Interface","Description for Spacer, Direct Patient Interface",BP0001,Batteries/ UPS,BATTERY CR-1/3N,95,1615,1200.415432,3
"Zimmerman/Norymberski, 17-Ketogenic Steroids","Description for Zimmerman/Norymberski, 17-Ketogenic Steroids",BP0004,Cables/ Lead Wires (or any part of it),SPO2 Extension Cable PN:0010-20-42710 or 562A,96,1745,978.9192064,2
Tracheotomy Care Kit,Description for Tracheotomy Care Kit,BP0028,Transducers/ Probes,CARDIOTOCOGRAPH Toco Ultrasound Tranducer (Pink),97,2869,4184.861224,5
"Prosthesis, Tracheal, Expandable","Description for Prosthesis, Tracheal, Expandable",BP0025,Sensors/ Detectors,OXYGEN SENSOR,98,5323,1862.226856,1
"Gas, Collecting Vessel","Description for Gas, Collecting Vessel",BP0011,Equipment Specific Parts,EXPIRATORY CASSETE,99,5368,3074.31062,2
"Protector, Dental Stool","Description for Protector, Dental Stool",BP0003,Bulbs/ Lamps,SOCKET BULB BLUE 130 MAQUET OT LIGHT,100,3604,1669.891346,1
"Tube, Bronchial (W/Wo Connector)","Description for Tube, Bronchial (W/Wo Connector)",BP0025,Sensors/ Detectors,DATEX OHMEDA (AESTIVA 5) 02 CELL 6050-0004-110,101,297,3553.723672,10
Continuous Brachial Plexus Block Tray,Description for Continuous Brachial Plexus Block Tray,BP0004,Cables/ Lead Wires (or any part of it),NIHON KOHDEN Fast Clip Ecg Electrode,102,4511,251.5949253,1
"Humidifier, Non-Direct Patient Interface (Home-Use)","Description for Humidifier, Non-Direct Patient Interface (Home-Use)",BP0003,Bulbs/ Lamps,BULB MAQUET BLUE 22.8V 90W,103,2442,1909.927521,10
"Device, Heimlich Maneuver Assist","Description for Device, Heimlich Maneuver Assist",BP0025,Sensors/ Detectors,SPO finger sensor mindray adult 512F,104,1137,4656.730297,5
Non-Bronchoscopic Bronchoalveolar Lavage Catheter,Description for Non-Bronchoscopic Bronchoalveolar Lavage Catheter,BP0011,Equipment Specific Parts,"Drop sensor,BRAND:ORALIX, MODEL:OR-1500H",105,4589,4804.324928,2
Tube Tracheostomy And Tube Cuff,Description for Tube Tracheostomy And Tube Cuff,BP0004,Cables/ Lead Wires (or any part of it),EXTENSION CABLE RC-12,106,5418,1708.14424,9
Intraoral Pressure Gradient Device,Description for Intraoral Pressure Gradient Device,BP0022,Power Supply Unit (PCB or Module)/ Transfomer,CHARGERMODULE ASSY,107,5723,4822.576331,1
"Cylinder, Compressed Gas, And Valve","Description for Cylinder, Compressed Gas, And Valve",BP0007,Diaphragms/ Pumps,Ultrafiltration Pump,108,2428,3083.718629,5
"Mask, Ventilator, Non-Continuous, Reprocessed","Description for Mask, Ventilator, Non-Continuous, Reprocessed",BP0006,Cuffs,Cuff Cylindrical 34 Ats,109,5164,1331.668776,8
Positive Airway Pressure System,Description for Positive Airway Pressure System,BP0006,Cuffs,Cuff Cylindrical 24 Ats,110,5066,896.2717346,9
Spinal Epidural Anesthesia Kit,Description for Spinal Epidural Anesthesia Kit,BP0004,Cables/ Lead Wires (or any part of it),6 lead wire for telemetri transmitter for ge apex PRO part no:421930-001,111,4340,3054.020759,7
"Device, Fixation, Tracheal Tube","Description for Device, Fixation, Tracheal Tube",BP0025,Sensors/ Detectors,Temperature Probe 900MR860,112,5719,4635.315977,7
"Bag, Reservoir Compressor, Air, Portable","Description for Bag, Reservoir Compressor, Air, Portable",BP0001,Batteries/ UPS,Rechargeable Battery (TE-112),113,1157,949.3717957,4
Absorbable Lung Biopsy Plug,Description for Absorbable Lung Biopsy Plug,BP0004,Cables/ Lead Wires (or any part of it),Extension Cable PC-8,114,5209,3527.073867,3
"Tent, Pediatric Aerosol","Description for Tent, Pediatric Aerosol",BP0001,Batteries/ UPS,Battery LI-ion 14.8V 6.6Ah 98Wh (for Heartstart XL+),115,4086,343.8821916,9
Retrograde Intubation Set,Description for Retrograde Intubation Set,BP0012,Filters,Black Carbon Filter,116,273,868.8409583,2
"Monitor, Carbon-Dioxide, Cutaneous","Description for Monitor, Carbon-Dioxide, Cutaneous",BP0012,Filters,Cotton Filter-10 Inch,117,3173,2023.071716,10
Laryngoscope Kit,Description for Laryngoscope Kit,BP0011,Equipment Specific Parts,PLUNGER CLAMP ASSY,118,5962,4911.552539,3
"Cuff, Tracheal Tube, Inflatable Filter","Description for Cuff, Tracheal Tube, Inflatable Filter",BP0025,Sensors/ Detectors,Extension finger sensor Mindray PM-60 DB9,119,4217,4045.080102,1
"Set, Tubing And Support, Ventilator (W Harness)","Description for Set, Tubing And Support, Ventilator (W Harness)",BP0001,Batteries/ UPS,BATTERY MINDRAY DUO,120,2402,2081.494978,10
Pressure Monitoring (Air/Gas) Kit,Description for Pressure Monitoring (Air/Gas) Kit,BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Hose heater wire 900mr751,121,5535,3174.999623,9
"Needle, Spinal, Short Term","Description for Needle, Spinal, Short Term",BP0004,Cables/ Lead Wires (or any part of it),3 Lead Wire,122,2526,1840.186678,4
Absorbable Lung Biopsy Plug,Description for Absorbable Lung Biopsy Plug,BP0001,Batteries/ UPS,Battery Smart Pack,123,852,136.4119596,8
"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer","Description for Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",BP0020,Paddles/ Wheels/ Castors/Brakes,External Paddle for TEC-7621K,124,661,2795.374862,7
Ventilatory Electrical Impedance Tomograph,Description for Ventilatory Electrical Impedance Tomograph,BP0025,Sensors/ Detectors,DROP SENSOR TERUMO TE-112,125,5314,2077.280327,5
"Zimmerman (Spectrophotometric), 17-Ketosteroids","Description for Zimmerman (Spectrophotometric), 17-Ketosteroids",BP0020,Paddles/ Wheels/ Castors/Brakes,CASTOR,126,5540,1417.147417,1
"Analyzer, Nitrogen Dioxide, Exempt","Description for Analyzer, Nitrogen Dioxide, Exempt",BP0001,Batteries/ UPS,Sypu Battery 12V 700Mah(3.6V-600Mah),127,4616,680.5511158,9
"Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin","Description for Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin",BP0004,Cables/ Lead Wires (or any part of it),SPO2 Nellcor Interm Cable,128,1378,4522.048694,5
Pressure Monitoring (Air/Gas) Kit,Description for Pressure Monitoring (Air/Gas) Kit,BP0025,Sensors/ Detectors,Skin Temp Probe (CM-6450Y),129,4154,1079.83881,5
"Holding Chambers, Direct Patient Interface","Description for Holding Chambers, Direct Patient Interface",BP0028,Transducers/ Probes,Ultrasound Tranducer,130,4012,4123.64844,3
"Unit, Liquid-Oxygen, Portable Tent, Oxygen, Electrically Powered","Description for Unit, Liquid-Oxygen, Portable Tent, Oxygen, Electrically Powered",BP0003,Bulbs/ Lamps,Bulb 15v 150W,131,2639,3669.805345,3
Device For Sleep Apnea Testing Based On Mandibular Movement,Description for Device For Sleep Apnea Testing Based On Mandibular Movement,BP0026,Solenoids/ Valves/ Gauges,BP SET MANUAL Rubber Ball with Control Valve,132,3776,2231.751284,10
"Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)","Description for Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)",BP0025,Sensors/ Detectors,Exhalation Flow Sensor MT for E360,133,5012,3834.419185,9
Catheter Introducer,Description for Catheter Introducer,BP0013,Heater Elements,Heater Wire adaptor dual 900MR805 humidifier MR850,134,750,3223.498312,9
"Acid, Uric, Phosphotungstate Reduction","Description for Acid, Uric, Phosphotungstate Reduction",BP0012,Filters,FILTER ATOM,135,3824,4571.289016,10
"Calculator, Pulmonary Function Interpretor (Diagnostic)","Description for Calculator, Pulmonary Function Interpretor (Diagnostic)",BP0010,Electronic Components,FUSE,136,401,293.1643161,4
"Cylinder, Compressed Gas, And Valve","Description for Cylinder, Compressed Gas, And Valve",BP0004,Cables/ Lead Wires (or any part of it),ECG 10 LEAD MORTARA,137,5017,1930.221048,6
"Mask, Oxygen, Non-Rebreathing","Description for Mask, Oxygen, Non-Rebreathing",BP0004,Cables/ Lead Wires (or any part of it),5-Lead Trunk Cable,138,3716,907.795684,2
"Tube, Tracheal, Reprocessed","Description for Tube, Tracheal, Reprocessed",BP0025,Sensors/ Detectors,Oxygen Sensor HAMILTON,139,203,2858.322189,9
"Calibrator, Volume, Gas Calibrator, Pressure, Gas","Description for Calibrator, Volume, Gas Calibrator, Pressure, Gas",BP0011,Equipment Specific Parts,User Interface Assembly,140,1730,1517.579792,10
"Cylinder, Compressed Gas, And Valve","Description for Cylinder, Compressed Gas, And Valve",BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Swivel Air Hose With sensor,141,188,4055.324106,6
"Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)","Description for Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)",BP0019,O-Rings/ Belts/ Seals/ Gaskets/ Washers,GREEN BELT,142,5754,2940.439653,4
"Anesthesia Conduction Kit Monitor, Air Embolism, Ultrasonic","Description for Anesthesia Conduction Kit Monitor, Air Embolism, Ultrasonic",BP0001,Batteries/ UPS,BATTERY DOPPLER NICOLET,143,3559,490.9178187,4
Abnormal Breath Sound Device,Description for Abnormal Breath Sound Device,BP0012,Filters,Carbon Cartrid filter 10,144,875,949.5847925,10
"Gaseous-Phase Absorber, Carbon-Dioxide","Description for Gaseous-Phase Absorber, Carbon-Dioxide",BP0012,Filters,Cartridge filter imicon 10,145,2875,4365.31301,9
Emergency Resuscitator,Description for Emergency Resuscitator,BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Cover Syringe pump,146,168,1662.512043,3
