ItemCode,ItemDescription,PartDescription,IsExpiryDateRequired,MinPrice,MaxPrice,Brand,Status,ExpiryAgeMonths,CurrentStock,SupplierID
BP0025,Sensors/ Detectors,Temperature Probe 900MR860,No,789.00,850.00,Fisher & Paykel,Active,,4,112
BP0001,Batteries/ UPS,Rechargeable Battery (TE-112),No,130.00,200.00,Terumo,Active,,4,113
BP0004,Cables/ Lead Wires (or any part of it),Extension Cable PC-8,No,730.00,800.00,Masimo,Active,,5,114
BP0001,Batteries/ UPS,Battery LI-ion 14.8V 6.6Ah 98Wh (for Heartstart XL+),No,1850.00,2000.00,PHILIPS,Active,,0,115
BP0012,Filters,Black Carbon Filter,No,8.00,9.60,Waterman,Active,,1,116
BP0012,Filters,Cotton Filter-10 Inch,No,5.00,10.00,Waterman,Active,,9,117
BP0011,Equipment Specific Parts,PLUNGER CLAMP ASSY,No,140.00,200.00,TOP,Active,,2,118
BP0025,Sensors/ Detectors,Extension finger sensor Mindray PM-60 DB9,No,203.00,215.00,Mindray,Active,,2,119
BP0001,Batteries/ UPS,BATTERY MINDRAY DUO,No,500.00,800.00,Mindray,Active,,0,120
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Hose heater wire 900mr751,No,320.00,368.00,Fisher & Paykel,Active,,3,121
BP0004,Cables/ Lead Wires (or any part of it),3 Lead Wire,No,125.00,500.00,Nihon Kohden,Active,,5,122
BP0001,Batteries/ UPS,Battery Smart Pack,No,425.00,700.00,ALARIS,Active,,15,123
BP0020,Paddles/ Wheels/ Castors/Brakes,External Paddle for TEC-7621K,No,1166.00,3000.00,Nihon Kohden,Active,,3,124
BP0025,Sensors/ Detectors,DROP SENSOR TERUMO TE-112,No,1468.00,1500.00,Terumo,Active,,4,125
BP0020,Paddles/ Wheels/ Castors/Brakes,CASTOR,No,118.00,500.00,Fresenius,Active,,0,126
BP0001,Batteries/ UPS,Sypu Battery 12V 700Mah(3.6V-600Mah),No,175.00,201.25,B.Braun,Active,0.00,14,127
BP0004,Cables/ Lead Wires (or any part of it),SPO2 Nellcor Interm Cable,No,550.00,900.00,DRAEGER,Active,,1,128
BP0025,Sensors/ Detectors,Skin Temp Probe (CM-6450Y),No,650.00,900.00,ATOM,Active,,2,129
BP0028,Transducers/ Probes,Ultrasound Tranducer,No,4500.00,7000.00,Philips,Active,,2,130
BP0003,Bulbs/ Lamps,Bulb 15v 150W,No,42.00,50.00,Siemens,Active,,1,131
BP0026,Solenoids/ Valves/ Gauges,BP SET MANUAL Rubber Ball with Control Valve,No,16.50,50.00,ACCOSON,Active,,6,132
BP0025,Sensors/ Detectors,Exhalation Flow Sensor MT for E360,No,300.00,500.00,NEWPORT,Active,,2,133
BP0013,Heater Elements,Heater Wire adaptor dual 900MR805 humidifier MR850,No,598.00,700.00,Fisher & Paykel,Active,,1,134
BP0012,Filters,FILTER ATOM,No,110.00,150.00,Atom,Active,,0,135
BP0010,Electronic Components,FUSE,No,0.40,20.00,TOSHIBA,Active,,498,136
BP0004,Cables/ Lead Wires (or any part of it),ECG 10 LEAD MORTARA,No,125.00,300.00,MORTARA,Active,,0,137
BP0004,Cables/ Lead Wires (or any part of it),5-Lead Trunk Cable,No,200.00,500.00,,Active,,0,138
BP0025,Sensors/ Detectors,Oxygen Sensor HAMILTON,No,1000.00,2000.00,,Active,,6,139
BP0011,Equipment Specific Parts,User Interface Assembly,No,680.00,900.00,,Active,,2,140
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Swivel Air Hose With sensor,No,720.00,900.00,,Active,,4,141
BP0019,O-Rings/ Belts/ Seals/ Gaskets/ Washers,GREEN BELT,No,198.00,300.00,,Active,,3,142
BP0001,Batteries/ UPS,BATTERY DOPPLER NICOLET,No,150.00,300.00,,Active,,15,143
BP0012,Filters,Carbon Cartrid filter 10,No,14.00,20.00,,Active,,2,144
BP0012,Filters,Cartridge filter imicon 10,No,14.00,20.00,,Active,,18,145
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Cover Syringe pump,No,260.00,500.00,,Active,,5,146
BP0025,Sensors/ Detectors,Spo2 Extension sensor,No,150.00,300.00,Philips,Active,,10,147
BP0003,Bulbs/ Lamps,Halogen Bulb 6V 30W (Philips),No,96.00,150.00,Philips,Active,,3,148
BP0001,Batteries/ UPS,Rechargeable Batttery,No,525.00,800.00,Mindray,Active,,1,149
BP0004,Cables/ Lead Wires (or any part of it),FLOW SENSOR CONECTOR CABLE 8416600,No,943.00,1200.00,DRAEGER,Active,,0,150
BP0003,Bulbs/ Lamps,HALOGEN Bulb Derung 24v 75w,No,75.00,200.00,,Active,,11,151
BP0011,Equipment Specific Parts,Battery Oralix,No,300.00,360.00,,Active,,14,152
BP0011,Equipment Specific Parts,Bulb mercury short ARC HBO 100/2,No,480.00,700.00,OLYMPUS,Active,,6,153
BP0013,Heater Elements,900MR754 Heater Wire,No,300.00,500.00,Fisher & Paykel,Active,,0,154
BP0013,Heater Elements,Heater Wire Adaptor 900MR559,No,288.00,500.00,Fisher & Paykel,Active,,10,155
BP0011,Equipment Specific Parts,LAMB CARTRIDGE ASSY 6 SERIES )(608125-501),No,190.00,500.00,WELCH ALLYN,Active,,0,156
BP0001,Batteries/ UPS,Lithium ION Battery 3.6V(Red),No,480.00,1000.00,KEELER,Active,,0,157
BP0003,Bulbs/ Lamps,Halogen Lamp,No,1571.00,2000.00,,Active,,3,158
BP0001,Batteries/ UPS,Battery Pack BP55,No,110.00,250.00,Top,Active,,11,159
BP0008,Displays/ Backlights/ Panels,LCD MONITOR,No,380.00,500.00,,Active,,3,160
BP0004,Cables/ Lead Wires (or any part of it),LEAD CABLE ECG,No,250.00,500.00,Nihon Kohden,Active,,8,161
BP0004,Cables/ Lead Wires (or any part of it),NIBP INTERCONNECT CABLE,No,55.00,150.00,Philips,Active,,13,162
BP0001,Batteries/ UPS,Battery 9.6V 1.5Ah,No,150.00,300.00,Terumo,Active,,3,163
BP0006,Cuffs,CUFF ADULT DURABLE,No,90.00,100.00,WELCH ALLYN,Active,,4,164
BP0013,Heater Elements,Heater Elements,No,500.00,700.00,,Active,,1,165
BP0012,Filters,INLET FILTER (PACK OF 6 PCS),No,75.00,100.00,Respironics,Active,,21,166
BP0004,Cables/ Lead Wires (or any part of it),ECG 5 Lead,No,250.00,400.00,,Active,,6,167
BP0001,Batteries/ UPS,Rechargeable Battery (for Draeger Evita 4); Valve Regulated Lead Acid 12V 3.4Ah (LC-R123R4PG),No,155.00,300.00,Draeger,Active,,2,168
BP0004,Cables/ Lead Wires (or any part of it),3 LEAD ECG CABLE,No,150.00,250.00,Nihon Kohden,Active,,1,169
BP0001,Batteries/ UPS,Rechargeable Battery 12V 2.3Ah,No,280.00,500.00,IVY,Active,,12,170
BP0013,Heater Elements,High Temperature Filament,No,512.00,600.00,,Active,,5,171
BP0004,Cables/ Lead Wires (or any part of it),Battery Li-Ion 2.4ah/26.64 wh,No,386.00,500.00,Philips,Active,,0,172
BP0011,Equipment Specific Parts,FISHER & PAYKEL ELECTRICAL ADAPTOR 900MR858,No,336.00,500.00,Fisher & Paykel,Active,,8,173
BP0012,Filters,Cartridge filter big blue 20,No,110.00,250.00,Fresenius,Active,,9,174
BP0001,Batteries/ UPS,Battery Pack 8.4V 8.0 Ah Ge Dash 2500,No,1125.00,1500.00,,Active,,3,175
BP0025,Sensors/ Detectors,Durasensor Adult Finger Clip Sensor,No,400.00,550.00,Siemens,Active,,1,176
BP0003,Bulbs/ Lamps,SLIT LAMP BULB TAPCON HALOGEN,No,21.00,30.00,Topcon,Active,,12,177
BP0012,Filters,Bacteria Filter 10,No,11.00,20.00,Fresenius,Active,,11,178
BP0012,Filters,Cartridge filter imicon 20,No,20.00,45.00,Fresenius,Active,,0,179
BP0025,Sensors/ Detectors,Temperature Probe 900MR869,No,789.00,1000.00,Fisher & Paykel,Active,,2,180
BP0004,Cables/ Lead Wires (or any part of it),10 Lead ECG Cable Kenz 108,No,125.00,143.75,Suzuken,Active,0.00,12,181
BP0025,Sensors/ Detectors,FISHER&PAYKEL Temperature Probe 900MR560,No,386.00,443.90,Fisher & Paykel,Active,0.00,10,182
BP0025,Sensors/ Detectors,FISHER&PAYKEL Temperature Probe 900MR860 FOR 850,No,570.00,655.50,Fisher & Paykel,Active,0.00,0,183
BP0028,Transducers/ Probes,Fresenius 4008S TMP Transducer Complete,No,1750.00,2012.50,FRESENIUS,Active,0.00,2,184
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Hose Red,No,48.00,55.20,Fresenius,Active,0.00,0,185
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Plunger Holder 20ml,No,85.00,97.75,Fresenius,Active,0.00,0,186
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Rotor Board GE AMX4,No,5341.00,6142.15,GE,Active,0.00,0,187
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),Fil KV Control Board GE AMX4,No,5002.00,5752.30,GE,Active,0.00,0,188
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),CPU Board GE AMX4,No,5945.40,6837.21,GE,Active,0.00,1,189
BP0001,Batteries/ UPS,Battery Upgrade Kit,No,3857.69,4436.34,GE,Active,0.00,1,190
BP0004,Cables/ Lead Wires (or any part of it),Patient Cable,No,450.00,517.50,Suzuken,Active,0.00,0,191
BP0004,Cables/ Lead Wires (or any part of it),KENZ 106 10 LEAD ECG CABLE,No,800.00,920.00,Suzuken,Active,0.00,7,192
BP0028,Transducers/ Probes,Toco Tranducer,No,1175.00,1351.25,Hewlett Packard,Active,0.00,3,193
BP0028,Transducers/ Probes,TOCO Avalon FEM20 Philips,No,4400.00,5060.00,Philips,Active,0.00,0,194
BP0021,Power Cords/ Adaptors (or any part of it),Plug Top 3 Pin 13amp,No,5.30,6.10,Common,Active,0.00,6,195
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Male Connector,No,4.00,4.60,Accoson,Active,0.00,3,196
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Female Connector,No,2.50,2.88,Accoson,Active,0.00,0,197
BP0012,Filters,CLEMENT FILTER,No,85.00,97.75,Clements,Active,0.00,9,198
BP0012,Filters,MADELA Filter Bacterial,No,98.00,112.70,Madela,Active,0.00,4,199
BP0003,Bulbs/ Lamps,"Bulb,12V/4.2A 50W",No,20.00,23.00,Inami,Active,0.00,0,200
BP0003,Bulbs/ Lamps,Bulb 6V4.5A,No,138.00,158.70,Inami,Active,0.00,1,201
BP0003,Bulbs/ Lamps,Bulb 6V 4.5 A,No,215.00,247.25,Nidek,Active,0.00,0,202
BP0021,Power Cords/ Adaptors (or any part of it),Power Cord 1.8M,No,18.00,20.70,Volex,Active,0.00,0,203
BP0006,Cuffs,Infant Cuff 2 Tb,No,12.00,13.80,Critikon/Velcro,Active,0.00,37,204
BP0006,Cuffs,Infant Cuff 1 Tb,No,32.00,36.80,Critikon/Velcro,Active,0.00,45,205
BP0006,Cuffs,X-Large Cuff Adult 2TB,No,60.00,69.00,Critikon/Velcro,Active,0.00,32,206
BP0006,Cuffs,Cuff Large Adult 1 Tb,No,16.00,18.40,Critikon/Velcro,Active,0.00,50,207
BP0006,Cuffs,Cuff Adult 1 Tb,No,30.00,34.50,Colin/Velcro,Active,0.00,4,208
BP0006,Cuffs,Cuff Adult Large 2 Tb,No,16.00,18.40,Colin/Velcro,Active,0.00,0,209
BP0006,Cuffs,Cuff Adult 2 Tb,No,33.00,37.95,Colin/Velcro,Active,0.00,23,210
BP0006,Cuffs,Cuff Child 2 Tb,No,30.00,34.50,Colin/Velcro,Active,0.00,36,211
BP0008,Displays/ Backlights/ Panels,TOP 3300 FRONT PANEL ASSEMBLY (T6330516(5) ),No,2067.00,2377.05,Top,Active,0.00,0,212
BP0003,Bulbs/ Lamps,BULB SLIT LAMP 6V 4.5A W/CENTER HAAG STREIT BM900,No,70.00,80.50,Haag-Streit,Active,0.00,0,213
BP0021,Power Cords/ Adaptors (or any part of it),Power Adaptor,No,80.00,92.00,Omron,Active,0.00,0,214
BP0021,Power Cords/ Adaptors (or any part of it),POWER DAPTOR HEM 907 OMRON,No,68.00,78.20,Omron,Active,0.00,2,215
BP0025,Sensors/ Detectors,DRAGER BABYLOG 8000 OXYGEN CELL 6850645 (GOLD PACKING) (OEM OOM201 ),Yes,974.00,1120.10,Draeger,Active,6.00,0,216
BP0025,Sensors/ Detectors,Oxygen Sensor Capsule,No,80.00,92.00,Draeger,Active,0.00,0,217
BP0025,Sensors/ Detectors,Oxygen Sensor,No,350.00,402.50,Marquet,Active,0.00,0,218
BP0025,Sensors/ Detectors,MARQUETTE EXTENSION SPO2 SENSOR,No,300.00,345.00,Marquet,Active,0.00,3,219
BP0025,Sensors/ Detectors,EXTENAL MEDICAL OXYGEN SENSOR MAX-250E,Yes,440.00,506.00,Viasys Vela,Active,6.00,4,220
BP0001,Batteries/ UPS,Rechargeable Battery 6V,No,300.00,345.00,Nellcor,Active,0.00,0,221
BP0001,Batteries/ UPS,Rechargeable Battery 6V,No,65.00,74.75,Nellcor,Active,0.00,0,222
BP0025,Sensors/ Detectors,MASIMO SPO2 FINGER SENSOR ADULT LNOP DCI,No,580.00,667.00,Ivy,Active,0.00,0,223
BP0025,Sensors/ Detectors,SPO2 finger sensor child masimo,No,740.00,851.00,Ivy,Active,0.00,0,224
BP0004,Cables/ Lead Wires (or any part of it),MARQUETTE SPO2 ADAPTOR CABLE HELLIGE,No,1130.00,1299.50,Marquet,Active,0.00,3,225
BP0004,Cables/ Lead Wires (or any part of it),MASIMO EXTENSIN CABLE M-LNCS-10,No,600.00,690.00,Masimo,Active,0.00,3,226
