DecommissiongID,EquipmentID,DecommissiongDate,Reason
DC181,5020,11/6/2023,Obsolete technology
DC182,553,3/22/2023,Obsolete technology
DC183,1782,2/24/2023,Obsolete technology
DC184,3825,4/26/2023,Equipment malfunction
DC185,2664,2/9/2023,Safety concerns
DC186,4265,1/7/2023,Upgrade
DC187,4920,12/16/2023,End of life
DC188,3875,9/6/2023,Obsolete technology
DC189,422,4/16/2023,End of life
DC190,4916,1/29/2023,Obsolete technology
DC191,5372,1/8/2023,End of life
DC192,2452,7/5/2023,End of life
DC193,5334,6/16/2023,Safety concerns
DC194,1268,4/10/2023,Upgrade
DC195,3431,2/12/2023,Safety concerns
DC196,4616,11/16/2023,Equipment malfunction
DC197,4268,9/28/2023,Obsolete technology
DC198,3493,7/13/2023,Obsolete technology
DC199,5978,11/10/2023,Obsolete technology
DC200,1238,10/31/2023,End of life
