HCPCS_and_CPT_Code,DME_Supplier_Services_MUE_Values,MUE_Adjudication_Indicator,MUE_Rationale
A4344,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4346,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4354,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4355,4,3 Date of Service Edit: Clinical,Clinical: Data
A4356,1,2 Date of Service Edit: Policy,Published Contractor Policy
A4357,6,3 Date of Service Edit: Clinical,Published Contractor Policy
A4358,6,3 Date of Service Edit: Clinical,Published Contractor Policy
A4360,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4361,2,3 Date of Service Edit: Clinical,Published Contractor Policy
A4363,6,3 Date of Service Edit: Clinical,Clinical: Data
A4367,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4384,4,3 Date of Service Edit: Clinical,Clinical: Data
A4396,3,3 Date of Service Edit: Clinical,Clinical: Data
A4398,1,3 Date of Service Edit: Clinical,Published Contractor Policy
A4399,1,3 Date of Service Edit: Clinical,Published Contractor Policy
A4400,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4458,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4459,1,3 Date of Service Edit: Clinical,Nature of Equipment
A4463,3,3 Date of Service Edit: Clinical,Clinical: Data
A4465,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4467,0,3 Date of Service Edit: Clinical,CMS Policy
A4470,0,3 Date of Service Edit: Clinical,CMS Policy
A4480,0,3 Date of Service Edit: Clinical,CMS Policy
A4490,0,3 Date of Service Edit: Clinical,CMS Policy
A4495,0,3 Date of Service Edit: Clinical,CMS Policy
A4500,0,3 Date of Service Edit: Clinical,CMS Policy
A4510,0,3 Date of Service Edit: Clinical,CMS Policy
A4520,0,3 Date of Service Edit: Clinical,CMS Policy
A4553,0,3 Date of Service Edit: Clinical,CMS Policy
A4554,0,3 Date of Service Edit: Clinical,CMS Policy
A4555,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4556,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4557,2,3 Date of Service Edit: Clinical,Published Contractor Policy
A4558,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4561,0,3 Date of Service Edit: Clinical,CMS Policy
A4562,0,3 Date of Service Edit: Clinical,CMS Policy
A4575,0,3 Date of Service Edit: Clinical,CMS Policy
A4595,6,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
A4600,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4601,1,3 Date of Service Edit: Clinical,Clinical: Data
A4602,6,3 Date of Service Edit: Clinical,Clinical: Data
A4604,1,2 Date of Service Edit: Policy,Published Contractor Policy
A4606,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4608,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4611,2,3 Date of Service Edit: Clinical,Clinical: Data
A4612,2,3 Date of Service Edit: Clinical,Clinical: Data
A4613,1,3 Date of Service Edit: Clinical,Clinical: Data
A4614,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
A4615,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4616,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4617,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4619,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4620,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4623,200,3 Date of Service Edit: Clinical,Published Contractor Policy
A4625,100,3 Date of Service Edit: Clinical,Published Contractor Policy
A4626,6,3 Date of Service Edit: Clinical,Published Contractor Policy
A4627,0,3 Date of Service Edit: Clinical,CMS Policy
A4630,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4633,6,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
A4634,0,3 Date of Service Edit: Clinical,CMS Policy
A4635,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
A4636,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
A4637,4,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
A4638,2,3 Date of Service Edit: Clinical,Clinical: Data
A4639,0,3 Date of Service Edit: Clinical,CMS Policy
A4640,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
A4650,0,3 Date of Service Edit: Clinical,CMS Policy
A4651,0,3 Date of Service Edit: Clinical,CMS Policy
A4652,0,3 Date of Service Edit: Clinical,CMS Policy
A4653,0,3 Date of Service Edit: Clinical,CMS Policy
A4657,0,3 Date of Service Edit: Clinical,CMS Policy
A4660,0,3 Date of Service Edit: Clinical,CMS Policy
A4663,0,3 Date of Service Edit: Clinical,CMS Policy
A4670,0,3 Date of Service Edit: Clinical,CMS Policy
A4671,0,3 Date of Service Edit: Clinical,CMS Policy
A4672,0,3 Date of Service Edit: Clinical,CMS Policy
A4673,0,3 Date of Service Edit: Clinical,CMS Policy
A4674,0,3 Date of Service Edit: Clinical,CMS Policy
A4680,0,3 Date of Service Edit: Clinical,CMS Policy
A4690,0,3 Date of Service Edit: Clinical,CMS Policy
A4706,0,3 Date of Service Edit: Clinical,CMS Policy
A4707,0,3 Date of Service Edit: Clinical,CMS Policy
A4708,0,3 Date of Service Edit: Clinical,CMS Policy
A4709,0,3 Date of Service Edit: Clinical,CMS Policy
A4714,0,3 Date of Service Edit: Clinical,CMS Policy
A4719,0,3 Date of Service Edit: Clinical,CMS Policy
A4720,0,3 Date of Service Edit: Clinical,CMS Policy
A4721,0,3 Date of Service Edit: Clinical,CMS Policy
A4722,0,3 Date of Service Edit: Clinical,CMS Policy
A4723,0,3 Date of Service Edit: Clinical,CMS Policy
A4724,0,3 Date of Service Edit: Clinical,CMS Policy
A4725,0,3 Date of Service Edit: Clinical,CMS Policy
A4726,0,3 Date of Service Edit: Clinical,CMS Policy
A4728,0,3 Date of Service Edit: Clinical,CMS Policy
A4730,0,3 Date of Service Edit: Clinical,CMS Policy
A4736,0,3 Date of Service Edit: Clinical,CMS Policy
A4737,0,3 Date of Service Edit: Clinical,CMS Policy
A4740,0,3 Date of Service Edit: Clinical,CMS Policy
A4750,0,3 Date of Service Edit: Clinical,CMS Policy
A4755,0,3 Date of Service Edit: Clinical,CMS Policy
A4760,0,3 Date of Service Edit: Clinical,CMS Policy
A4765,0,3 Date of Service Edit: Clinical,CMS Policy
A4766,0,3 Date of Service Edit: Clinical,CMS Policy
A4770,0,3 Date of Service Edit: Clinical,CMS Policy
A4771,0,3 Date of Service Edit: Clinical,CMS Policy
A4772,0,3 Date of Service Edit: Clinical,CMS Policy
A4773,0,3 Date of Service Edit: Clinical,CMS Policy
A4774,0,3 Date of Service Edit: Clinical,CMS Policy
A4802,0,3 Date of Service Edit: Clinical,CMS Policy
A4860,0,3 Date of Service Edit: Clinical,CMS Policy
A4870,0,3 Date of Service Edit: Clinical,CMS Policy
A4890,0,3 Date of Service Edit: Clinical,CMS Policy
A4911,0,3 Date of Service Edit: Clinical,CMS Policy
A4913,0,3 Date of Service Edit: Clinical,CMS Policy
A4918,0,3 Date of Service Edit: Clinical,CMS Policy
A4927,0,3 Date of Service Edit: Clinical,CMS Policy
A4928,0,3 Date of Service Edit: Clinical,CMS Policy
A4929,0,3 Date of Service Edit: Clinical,CMS Policy
A4930,0,3 Date of Service Edit: Clinical,CMS Policy
A4931,0,3 Date of Service Edit: Clinical,CMS Policy
A4932,0,3 Date of Service Edit: Clinical,CMS Policy
A5056,120,3 Date of Service Edit: Clinical,Published Contractor Policy
A5057,120,3 Date of Service Edit: Clinical,Published Contractor Policy
A5082,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A5102,1,3 Date of Service Edit: Clinical,Published Contractor Policy
A5105,4,3 Date of Service Edit: Clinical,Clinical: Data
A5112,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A5113,3,3 Date of Service Edit: Clinical,Clinical: Data
A5114,3,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
A5120,450,3 Date of Service Edit: Clinical,Published Contractor Policy
A5131,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A5500,2,2 Date of Service Edit: Policy,Published Contractor Policy
A5501,2,2 Date of Service Edit: Policy,Published Contractor Policy
A5503,2,2 Date of Service Edit: Policy,Published Contractor Policy
A5504,2,2 Date of Service Edit: Policy,Published Contractor Policy
A5505,2,2 Date of Service Edit: Policy,Published Contractor Policy
A5506,2,2 Date of Service Edit: Policy,Published Contractor Policy
A5507,2,3 Date of Service Edit: Clinical,Published Contractor Policy
A5508,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A5510,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A5512,6,2 Date of Service Edit: Policy,CMS Policy
A5513,6,2 Date of Service Edit: Policy,CMS Policy
A5514,6,2 Date of Service Edit: Policy,CMS Policy
A6000,0,3 Date of Service Edit: Clinical,CMS Policy
A6025,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A6228,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A6229,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A6230,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A6250,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A6260,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A6411,2,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
A6412,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
A6413,0,3 Date of Service Edit: Clinical,CMS Policy
A6460,1,1 Line Edit,Clinical: CMS Workgroup
A6461,1,1 Line Edit,Clinical: CMS Workgroup
A6501,2,3 Date of Service Edit: Clinical,Nature of Equipment
A6502,1,3 Date of Service Edit: Clinical,Nature of Equipment
A6503,2,3 Date of Service Edit: Clinical,Nature of Equipment
A6504,4,3 Date of Service Edit: Clinical,Nature of Equipment
A6505,4,3 Date of Service Edit: Clinical,Nature of Equipment
A6506,4,3 Date of Service Edit: Clinical,Nature of Equipment
A6507,4,3 Date of Service Edit: Clinical,Nature of Equipment
A6508,4,3 Date of Service Edit: Clinical,Nature of Equipment
A6509,2,3 Date of Service Edit: Clinical,Nature of Equipment
A6510,2,3 Date of Service Edit: Clinical,Nature of Equipment
A6511,2,3 Date of Service Edit: Clinical,Nature of Equipment
A6513,2,3 Date of Service Edit: Clinical,Nature of Equipment
A6530,0,3 Date of Service Edit: Clinical,CMS Policy
A6531,4,3 Date of Service Edit: Clinical,Clinical: Data
A6532,4,3 Date of Service Edit: Clinical,Clinical: Data
A6533,0,3 Date of Service Edit: Clinical,CMS Policy
A6534,0,3 Date of Service Edit: Clinical,CMS Policy
A6535,0,3 Date of Service Edit: Clinical,CMS Policy
A6536,0,3 Date of Service Edit: Clinical,CMS Policy
A6537,0,3 Date of Service Edit: Clinical,CMS Policy
A6538,0,3 Date of Service Edit: Clinical,CMS Policy
A6539,0,3 Date of Service Edit: Clinical,CMS Policy
A6540,0,3 Date of Service Edit: Clinical,CMS Policy
A6541,0,3 Date of Service Edit: Clinical,CMS Policy
A6544,0,3 Date of Service Edit: Clinical,CMS Policy
A6545,2,3 Date of Service Edit: Clinical,Clinical: Data
A6549,0,3 Date of Service Edit: Clinical,CMS Policy
A7001,3,3 Date of Service Edit: Clinical,Clinical: Data
A7003,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7004,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7005,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7006,3,2 Date of Service Edit: Policy,Published Contractor Policy
A7007,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7008,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A7009,2,3 Date of Service Edit: Clinical,Clinical: Data
A7010,2,2 Date of Service Edit: Policy,Published Contractor Policy
A7012,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7013,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7014,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7015,3,2 Date of Service Edit: Policy,Published Contractor Policy
A7016,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7017,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7020,1,3 Date of Service Edit: Clinical,Nature of Equipment
A7025,1,3 Date of Service Edit: Clinical,Clinical: Data
A7026,1,3 Date of Service Edit: Clinical,Clinical: Data
A7027,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7028,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7029,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7030,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7031,3,2 Date of Service Edit: Policy,Published Contractor Policy
A7032,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7033,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7034,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7035,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7036,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7037,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7038,6,2 Date of Service Edit: Policy,Published Contractor Policy
A7039,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7040,0,3 Date of Service Edit: Clinical,CMS Policy
A7041,0,3 Date of Service Edit: Clinical,CMS Policy
A7044,1,3 Date of Service Edit: Clinical,Clinical: Data
A7045,2,3 Date of Service Edit: Clinical,Clinical: Data
A7046,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7047,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A7048,0,3 Date of Service Edit: Clinical,CMS Policy
A7501,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A7502,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A7503,1,3 Date of Service Edit: Clinical,Published Contractor Policy
A7504,200,3 Date of Service Edit: Clinical,Published Contractor Policy
A7505,2,3 Date of Service Edit: Clinical,Published Contractor Policy
A7506,200,3 Date of Service Edit: Clinical,Published Contractor Policy
A7507,200,3 Date of Service Edit: Clinical,Published Contractor Policy
A7508,200,3 Date of Service Edit: Clinical,Published Contractor Policy
A7509,200,3 Date of Service Edit: Clinical,Published Contractor Policy
A7520,1,3 Date of Service Edit: Clinical,Published Contractor Policy
A7521,1,3 Date of Service Edit: Clinical,Published Contractor Policy
A7522,1,2 Date of Service Edit: Policy,Published Contractor Policy
A7523,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A7524,1,3 Date of Service Edit: Clinical,Published Contractor Policy
A7525,8,3 Date of Service Edit: Clinical,Clinical: Data
A7526,100,3 Date of Service Edit: Clinical,Published Contractor Policy
A7527,2,3 Date of Service Edit: Clinical,Published Contractor Policy
A8000,0,3 Date of Service Edit: Clinical,CMS Policy
A8001,0,3 Date of Service Edit: Clinical,CMS Policy
A8002,0,3 Date of Service Edit: Clinical,CMS Policy
A8003,0,3 Date of Service Edit: Clinical,CMS Policy
A8004,0,3 Date of Service Edit: Clinical,CMS Policy
A9270,0,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
A9272,0,3 Date of Service Edit: Clinical,CMS Policy
A9273,0,3 Date of Service Edit: Clinical,CMS Policy
A9274,0,3 Date of Service Edit: Clinical,CMS Policy
A9275,0,3 Date of Service Edit: Clinical,CMS Policy
A9276,0,3 Date of Service Edit: Clinical,CMS Policy
A9277,0,3 Date of Service Edit: Clinical,CMS Policy
A9278,0,3 Date of Service Edit: Clinical,CMS Policy
A9279,0,3 Date of Service Edit: Clinical,CMS Policy
A9280,0,3 Date of Service Edit: Clinical,CMS Policy
A9281,0,3 Date of Service Edit: Clinical,CMS Policy
A9282,0,3 Date of Service Edit: Clinical,CMS Policy
A9283,0,3 Date of Service Edit: Clinical,CMS Policy
A9284,0,3 Date of Service Edit: Clinical,CMS Policy
A9285,0,3 Date of Service Edit: Clinical,CMS Policy
A9286,0,3 Date of Service Edit: Clinical,CMS Policy
A9300,0,3 Date of Service Edit: Clinical,CMS Policy
A9559,0,3 Date of Service Edit: Clinical,CMS Policy
A9901,0,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
B4034,1,1 Line Edit,Code Descriptor / CPT Instruction
B4035,1,1 Line Edit,Code Descriptor / CPT Instruction
B4036,1,1 Line Edit,Code Descriptor / CPT Instruction
B4100,0,3 Date of Service Edit: Clinical,Published Contractor Policy
B4102,0,3 Date of Service Edit: Clinical,Published Contractor Policy
B4103,0,3 Date of Service Edit: Clinical,Published Contractor Policy
B4104,0,3 Date of Service Edit: Clinical,Published Contractor Policy
B4164,2,1 Line Edit,Clinical: Data
B4168,2,1 Line Edit,Clinical: Data
B4172,2,1 Line Edit,Clinical: CMS Workgroup
B4176,2,1 Line Edit,Clinical: CMS Workgroup
B4178,2,1 Line Edit,Clinical: Data
B4180,1,1 Line Edit,Clinical: Data
B4185,15,3 Date of Service Edit: Clinical,Prescribing Information
B4187,15,3 Date of Service Edit: Clinical,Prescribing Information
B4189,1,1 Line Edit,Published Contractor Policy
B4193,1,1 Line Edit,Published Contractor Policy
B4197,1,1 Line Edit,Published Contractor Policy
B4199,1,1 Line Edit,Published Contractor Policy
B4216,1,1 Line Edit,Code Descriptor / CPT Instruction
B4220,1,1 Line Edit,Code Descriptor / CPT Instruction
B4222,1,1 Line Edit,Code Descriptor / CPT Instruction
B4224,1,1 Line Edit,Code Descriptor / CPT Instruction
B9002,1,1 Line Edit,Nature of Equipment
B9004,1,1 Line Edit,Nature of Equipment
B9006,1,1 Line Edit,Nature of Equipment
E0100,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0105,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0110,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0111,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0112,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0113,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0114,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0116,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0117,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0118,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0130,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0135,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0140,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0141,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0143,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0144,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0147,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0148,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0149,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0153,2,2 Date of Service Edit: Policy,Anatomic Consideration
E0154,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0155,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0156,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0157,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0158,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0159,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0160,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0161,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0162,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0163,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0165,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0167,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0168,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0170,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0171,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0172,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0175,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0181,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0182,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0184,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0185,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0186,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0187,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0188,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0189,1,3 Date of Service Edit: Clinical,Nature of Equipment
E0190,0,3 Date of Service Edit: Clinical,CMS Policy
E0191,0,3 Date of Service Edit: Clinical,CMS Policy
E0193,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0194,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0196,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0197,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0198,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0199,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0200,0,3 Date of Service Edit: Clinical,CMS Policy
E0202,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0203,0,3 Date of Service Edit: Clinical,CMS Policy
E0205,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0210,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0215,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0217,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0218,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0221,0,3 Date of Service Edit: Clinical,CMS Policy
E0225,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0231,0,3 Date of Service Edit: Clinical,CMS Policy
E0232,0,3 Date of Service Edit: Clinical,CMS Policy
E0235,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0236,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0239,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0240,0,3 Date of Service Edit: Clinical,CMS Policy
E0241,0,3 Date of Service Edit: Clinical,CMS Policy
E0242,0,3 Date of Service Edit: Clinical,CMS Policy
E0243,0,3 Date of Service Edit: Clinical,CMS Policy
E0244,0,3 Date of Service Edit: Clinical,CMS Policy
E0245,0,3 Date of Service Edit: Clinical,CMS Policy
E0246,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0247,0,3 Date of Service Edit: Clinical,CMS Policy
E0248,0,3 Date of Service Edit: Clinical,CMS Policy
E0249,0,3 Date of Service Edit: Clinical,Published Contractor Policy
E0250,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0251,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0255,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0256,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0260,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0261,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0265,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0266,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0270,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0271,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0272,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0273,0,3 Date of Service Edit: Clinical,CMS Policy
E0274,0,3 Date of Service Edit: Clinical,CMS Policy
E0275,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0276,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0277,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0280,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0290,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0291,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0292,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0293,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0294,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
E0295,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
