EquipmentID,TechnicianID,MaintenanceDate,MaintenanceTypeID,Description
4949,3578,12/3/2023,2,Routine inspection and cleaning
1166,3121,11/18/2023,2,Disinfection and sterilization
5334,4849,6/25/2023,7,Lubricated moving parts
351,27,10/17/2023,9,Verified calibration accuracy
5597,2303,1/23/2023,5,Disinfection and sterilization
4553,2869,1/10/2023,8,Safety inspection and compliance check
5686,2796,8/9/2023,9,Safety inspection and compliance check
1947,2598,4/15/2023,2,Performed software update
5326,219,5/19/2023,7,Safety inspection and compliance check
563,766,11/16/2023,9,Verified calibration accuracy
5846,3279,2/5/2023,1,Safety inspection and compliance check
4156,1559,2/13/2023,7,Lubricated moving parts
2896,523,11/4/2023,4,Disinfection and sterilization
433,3878,3/24/2023,8,Lubricated moving parts
3869,699,3/7/2023,2,Routine inspection and cleaning
3672,1581,1/19/2023,6,Verified calibration accuracy
3888,3071,6/4/2023,6,Verified calibration accuracy
2941,2609,5/1/2023,2,Preventive maintenance
2334,2356,6/8/2023,6,Replaced faulty sensor
1082,2655,10/5/2023,8,Replaced worn-out components
4605,711,4/26/2023,3,Disinfection and sterilization
2282,2802,7/6/2023,8,Replaced worn-out components
713,4154,1/23/2023,7,Replaced worn-out components
240,2707,6/8/2023,2,Checked and tightened loose connections
1773,4168,3/12/2023,6,Verified calibration accuracy
2302,3604,4/23/2023,9,Verified calibration accuracy
4465,1660,7/16/2023,5,Replaced worn-out components
4007,1664,11/17/2023,1,Replaced faulty sensor
5552,4611,8/29/2023,4,Routine inspection and cleaning
1940,1397,8/14/2023,9,Replaced worn-out components
3438,735,7/21/2023,5,Performed software update
575,1705,10/24/2023,1,Diagnostic tests and troubleshooting
5034,3340,7/29/2023,7,Replaced faulty sensor
1410,269,4/1/2023,3,Safety inspection and compliance check
5555,3493,5/30/2023,5,Lubricated moving parts
452,2177,8/3/2023,3,Performed software update
2854,605,5/11/2023,3,Disinfection and sterilization
1111,2719,5/31/2023,2,Routine inspection and cleaning
1833,3181,6/6/2023,4,Safety inspection and compliance check
3912,4901,12/31/2023,3,Replaced worn-out components
945,3420,4/14/2023,4,Emergency repair
3230,2101,12/22/2023,8,Preventive maintenance
3901,3418,12/16/2023,5,Performed software update
721,2210,10/22/2023,4,Diagnostic tests and troubleshooting
3670,3368,2/12/2023,9,Replaced faulty sensor
854,592,3/6/2023,1,Safety inspection and compliance check
514,1203,11/10/2023,3,Replaced faulty sensor
1664,1941,4/10/2023,4,Verified calibration accuracy
5607,4898,5/5/2023,1,Replaced worn-out components
4856,2951,10/20/2023,5,Replaced faulty sensor
530,3754,1/3/2023,6,Routine inspection and cleaning
2292,1731,5/25/2023,2,Performed software update
2324,728,2/9/2023,6,Diagnostic tests and troubleshooting
5823,2733,9/29/2023,1,Diagnostic tests and troubleshooting
5558,4921,4/14/2023,4,Calibrated equipment for accuracy
3542,190,10/7/2023,2,Emergency repair
905,606,5/27/2023,8,Diagnostic tests and troubleshooting
1029,1070,1/21/2023,7,Disinfection and sterilization
5582,2608,2/3/2023,7,Performed software update
1691,1319,5/2/2023,8,Emergency repair
1688,2508,4/1/2023,5,Replaced faulty sensor
1509,347,3/18/2023,3,Safety inspection and compliance check
5652,147,2/11/2023,2,Routine inspection and cleaning
3975,3352,1/24/2023,8,Replaced worn-out components
5633,2463,5/27/2023,8,Replaced faulty sensor
5248,830,6/7/2023,8,Replaced faulty sensor
2207,4634,7/21/2023,9,Disinfection and sterilization
2104,2630,7/8/2023,3,Calibrated equipment for accuracy
680,2651,6/23/2023,2,Replaced faulty sensor
3975,3613,5/25/2023,4,Emergency repair
4231,2493,11/17/2023,8,Verified calibration accuracy
2346,3795,2/18/2023,7,Emergency repair
935,4380,10/24/2023,2,Routine inspection and cleaning
1460,64,6/1/2023,6,Safety inspection and compliance check
3210,3921,8/3/2023,1,Performed software update
5701,1155,1/27/2023,8,Calibrated equipment for accuracy
3398,4158,4/25/2023,8,Calibrated equipment for accuracy
2685,4754,1/2/2023,2,Calibrated equipment for accuracy
2777,1286,10/10/2023,1,Emergency repair
1281,3629,8/14/2023,5,Replaced faulty sensor
795,1217,3/20/2023,7,Emergency repair
5743,3233,11/21/2023,2,Performed software update
5944,3712,4/25/2023,2,Replaced faulty sensor
4306,3702,2/7/2023,3,Diagnostic tests and troubleshooting
185,1496,5/7/2023,5,Calibrated equipment for accuracy
3365,764,1/4/2023,4,Replaced faulty sensor
3746,1341,2/24/2023,3,Performed software update
3037,4720,8/11/2023,1,Safety inspection and compliance check
2933,1786,10/7/2023,1,Performed software update
1546,1062,9/29/2023,7,Calibrated equipment for accuracy
5381,1680,10/26/2023,7,Safety inspection and compliance check
2262,213,4/12/2023,2,Lubricated moving parts
4661,2646,12/17/2023,4,Diagnostic tests and troubleshooting
2556,3623,12/21/2023,2,Routine inspection and cleaning
5621,4025,1/23/2023,9,Diagnostic tests and troubleshooting
3186,3403,8/31/2023,5,Verified calibration accuracy
3855,4515,3/17/2023,4,Performed software update
4376,1234,12/15/2023,1,Preventive maintenance
3698,703,9/23/2023,5,Verified calibration accuracy
174,4417,7/14/2023,2,Checked and tightened loose connections
5954,3778,4/12/2023,3,Replaced worn-out components
5708,3097,3/27/2023,9,Routine inspection and cleaning
3921,3760,9/5/2023,6,Diagnostic tests and troubleshooting
4314,4560,5/21/2023,2,Routine inspection and cleaning
5329,4385,10/9/2023,1,Replaced faulty sensor
974,3334,9/6/2023,9,Preventive maintenance
4400,4869,12/23/2023,7,Replaced faulty sensor
768,564,9/28/2023,9,Replaced faulty sensor
3602,4247,1/18/2023,1,Emergency repair
3282,2644,12/7/2023,6,Verified calibration accuracy
5451,1989,12/20/2023,4,Lubricated moving parts
2449,3418,1/27/2023,6,Calibrated equipment for accuracy
4015,1261,8/16/2023,3,Performed software update
2162,809,10/19/2023,8,Replaced worn-out components
5052,397,3/9/2023,5,Verified calibration accuracy
1688,2395,9/16/2023,1,Replaced worn-out components
24,3151,9/13/2023,9,Diagnostic tests and troubleshooting
36,2278,10/24/2023,7,Emergency repair
5510,1582,10/6/2023,8,Verified calibration accuracy
4794,2260,8/16/2023,1,Disinfection and sterilization
1082,2488,4/27/2023,4,Safety inspection and compliance check
2177,2610,8/15/2023,3,Lubricated moving parts
3345,2216,1/10/2023,6,Disinfection and sterilization
4582,1592,12/16/2023,6,Safety inspection and compliance check
1385,3594,5/11/2023,8,Diagnostic tests and troubleshooting
413,2243,4/11/2023,2,Emergency repair
5244,3721,8/1/2023,2,Emergency repair
530,3886,7/28/2023,1,Preventive maintenance
1032,3524,9/4/2023,4,Verified calibration accuracy
4052,2704,10/14/2023,9,Safety inspection and compliance check
4890,4381,8/11/2023,8,Emergency repair
87,3946,3/5/2023,4,Safety inspection and compliance check
2402,3915,9/20/2023,6,Verified calibration accuracy
2114,3444,2/28/2023,1,Verified calibration accuracy
5653,3820,3/27/2023,1,Preventive maintenance
1250,3419,10/5/2023,9,Disinfection and sterilization
4197,413,4/5/2023,3,Routine inspection and cleaning
4339,2922,1/11/2023,9,Verified calibration accuracy
3284,267,4/14/2023,2,Preventive maintenance
4414,4379,5/17/2023,4,Replaced faulty sensor
3294,3109,6/10/2023,4,Safety inspection and compliance check
1456,4533,9/30/2023,4,Disinfection and sterilization
526,3938,12/14/2023,9,Diagnostic tests and troubleshooting
5027,175,5/5/2023,7,Lubricated moving parts
2366,4414,2/17/2023,2,Calibrated equipment for accuracy
5186,3379,8/7/2023,3,Emergency repair
5953,975,8/1/2023,3,Replaced worn-out components
4613,2709,6/23/2023,6,Emergency repair
4073,1566,8/21/2023,8,Calibrated equipment for accuracy
2572,1141,12/28/2023,3,Disinfection and sterilization
3275,2795,6/25/2023,5,Replaced faulty sensor
342,4021,5/19/2023,8,Calibrated equipment for accuracy
3519,4561,8/26/2023,6,Disinfection and sterilization
1726,4686,1/23/2023,1,Checked and tightened loose connections
3108,4702,3/3/2023,9,Verified calibration accuracy
6000,1500,6/9/2023,8,Replaced worn-out components
4989,1322,7/6/2023,7,Routine inspection and cleaning
4012,3731,5/11/2023,1,Performed software update
5365,1704,2/8/2023,6,Replaced worn-out components
2830,2408,6/26/2023,1,Lubricated moving parts
1131,994,2/26/2023,4,Replaced faulty sensor
2582,3436,10/22/2023,5,Performed software update
5913,3562,4/6/2023,8,Routine inspection and cleaning
3400,2765,5/19/2023,3,Verified calibration accuracy
1241,1392,7/7/2023,6,Lubricated moving parts
2903,830,11/6/2023,2,Safety inspection and compliance check
1262,4511,2/3/2023,7,Preventive maintenance
2095,2158,8/4/2023,6,Replaced worn-out components
2977,624,10/16/2023,3,Replaced worn-out components
3248,3903,10/22/2023,9,Preventive maintenance
5608,2401,8/19/2023,4,Verified calibration accuracy
3172,4022,12/29/2023,6,Safety inspection and compliance check
195,547,8/28/2023,9,Replaced faulty sensor
2065,1013,3/28/2023,4,Lubricated moving parts
1448,3148,5/23/2023,4,Emergency repair
1968,392,2/26/2023,6,Diagnostic tests and troubleshooting
348,1911,5/24/2023,2,Safety inspection and compliance check
2825,4132,2/15/2023,4,Calibrated equipment for accuracy
2571,2409,4/15/2023,7,Checked and tightened loose connections
3010,2221,3/19/2023,2,Emergency repair
1961,2299,7/28/2023,1,Lubricated moving parts
4575,2200,10/31/2023,3,Disinfection and sterilization
5296,2422,9/15/2023,5,Performed software update
1705,681,10/24/2023,4,Preventive maintenance
2284,918,3/26/2023,1,Emergency repair
4518,2604,8/20/2023,6,Replaced worn-out components
4847,3281,12/13/2023,3,Calibrated equipment for accuracy
2997,229,7/13/2023,7,Checked and tightened loose connections
2739,3276,12/27/2023,2,Replaced faulty sensor
1322,860,7/8/2023,5,Replaced worn-out components
4219,3640,10/7/2023,9,Checked and tightened loose connections
4344,484,12/17/2023,7,Replaced faulty sensor
5374,2618,11/30/2023,7,Preventive maintenance
2661,3796,1/30/2023,8,Replaced faulty sensor
2052,3624,6/10/2023,5,Calibrated equipment for accuracy
3069,2377,7/10/2023,8,Replaced worn-out components
5799,4461,9/7/2023,9,Preventive maintenance
429,3022,10/25/2023,2,Diagnostic tests and troubleshooting
4405,4426,7/1/2023,6,Performed software update
1312,3362,11/25/2023,4,Replaced faulty sensor
3324,3334,11/15/2023,2,Emergency repair
186,2763,1/3/2023,1,Safety inspection and compliance check
167,3255,2/6/2023,6,Checked and tightened loose connections
471,2360,4/17/2023,4,Safety inspection and compliance check
4028,959,5/26/2023,7,Calibrated equipment for accuracy
752,2901,4/28/2023,1,Emergency repair
1057,423,1/14/2023,3,Replaced faulty sensor
477,4440,8/28/2023,7,Lubricated moving parts
3185,822,5/11/2023,5,Replaced worn-out components
3476,1287,7/13/2023,6,Verified calibration accuracy
4834,3931,4/6/2023,2,Replaced faulty sensor
323,3674,1/9/2023,8,Routine inspection and cleaning
675,2578,4/9/2023,2,Lubricated moving parts
989,432,2/1/2023,7,Diagnostic tests and troubleshooting
4469,1887,1/27/2023,6,Replaced worn-out components
