License_Number,FirmName,Doing_Business_As: ,Expiration_Date,Work_Phone,Street_Address,City,State,Zipcode
43582,Unique Embroidery Inc.,Unique Medical Equipment and Supplies,5/11/2015,(626) 282-2059,"801 South Raymond, Suite 40",Alhambra,CA,91803
43597,"Wisdomking.com, Inc.",,4/22/2015,(760) 450-0671,"4015 Avenida De LA Plata, Suite 401",Oceanside,CA,92056
43639,Progressive Medical,,5/4/2015,(760) 448-4448,"2720 Loker Avenue West, Unit P",Carlsbad,CA,92010
43731,"Hill-Rom Company, Inc.",,6/17/2015,(510) 233-1487,"1450 Regatta Boulevard, Unit A",Richmond,CA,94804
43829,My Best Homecare,,8/4/2015,(408) 934-9617,511 Montague Expressway,Milpitas,CA,95035
43834,Lincare Inc.,,6/29/2015,(530) 534-1535,"1940 Feather River Boulevard, Suite J",Oroville,CA,95965
43950,Respiratory Equipment Mgmt. (REM),,9/9/2014,(707) 252-1012,"855 Bordeaux Way, Suite 230",Napa,CA,94558
44042,Precision Medical Equipment Supply,,9/14/2014,(818) 293-0660,6942 Foothill Boulevard,Tujunga,CA,91042
44170,A-1 Oxygen Inc.,,8/25/2014,(661) 322-0909,"2015 Westwind Drive, Suite 9",Bakersfield,CA,93301
44252,FCMS Corporation,First Choice Medical Supply,11/16/2014,(805) 485-0331,"1751 North Lombard Street, Suite C",Oxnard,CA,93030
44376,"Living Medical Equipment, Inc.",,1/17/2015,(408) 573-7670,2123-K Bering Drive,San Jose,CA,95131
44379,Able Medical,,10/13/2014,(415) 831-2228,448 Clement Street,San Francisco,CA,94118
44380,"Marion Medical Supply, Inc.",,10/21/2014,(916) 451-4461,2508 Franklin Boulevard,Sacramento,CA,95818
44383,Hoveround Corporation,,10/21/2014,(800) 771-6565,"3331 Pegasus Drive, Suite 103",Bakersfield,CA,93308
44388,Back  Bubble,,1/25/2015,(858) 481-8715,621 Seabright Lane,Solana Beach,CA,92075
44403,Confidence First Medical Supplies,,10/4/2014,(310) 330-7636,316 East Manchester Blvd.,Inglewood,CA,90301
44404,King Medical Supply of California Inc.,,9/15/2015,(310) 533-8800,20816 Higgins Court,Torrance,CA,90501
44408,"New Start Home Medical Equipment, Inc.",,10/4/2014,(805) 520-2727,"90 West Cochran Street, Suite A",Simi Valley,CA,93065
44444,Grand Wheelchair & Medical Supply, All Wheelchair & Mobility Center,11/10/2014,(510) 353-1999,41917 Albrae Street,Fremont,CA,94538
44445,"SleepQuest, Inc.",,11/10/2014,(559) 436-8800,"5475 Fresno Street, #112",Fresno,Ca,93710
44455,"Central Medical Supply, Inc.",,10/13/2014,(408) 260-8884,2344 El Camino Real #110,Santa Clara,CA,95050
44551,Tripple R. Newlife Medical Supply,,10/18/2014,(909) 623-8136,1641 N. Garey Avenue,Pomona,CA,91767
44608,Diamond Respiratory Care Inc.,,12/21/2014,(951) 686-0418,1403 Palmyrita Avenue,Riverside,CA,92507
44609,General Home Medical Supply Inc,,10/26/2014,(805) 449-1559,"717 Lakefield Road, Suite D",Westlake Village,CA,91361
44616,"Braden Partners, LP",Pacific Pulmonary Services,1/13/2015,(559) 582-0815,"957 E.  Lacey Blvd, Suite #107",Hanford,CA,93230
44617,Braden Partners LP,Pacific Pulmonary Services,1/13/2015,(415) 884-2205,"37 Commercial Blvd, Suite 100",Novato,CA,94949
44656,Medical Supply Depot,,10/31/2014,(323) 773-6522,4846 East Florence Avenue #B104,Bell,CA,90201
44705,"Superior Mobility, Inc.",,10/17/2014,(310) 533-4840,360 Maple Avenue,Torrance,CA,90503
44746,Ecologically Sound Medical SUCS, Medical Network Distribution,3/29/2015,(209) 835-6868,1865 N. MacArthur Dr.,Tracy,CA,95376
44750,Sandman Technologies Inc,Omnicare,12/19/2014,(661) 395-0471,2030 Truxtun Avenue,Bakersfield,CA,93301
44784,"Achieve Comfort Medical Equipment & Supply, Inc.",,12/20/2014,(323) 852-6900,370 South Fairfax Avenue,Los Angeles,CA,90036
44824,"Braden Partners, L.P.",Pacific Pulmonary Services,4/14/2015,(559) 449-7500,"340 West Fallbrook Ave.,  Suite 109 & 110",Fresno,CA,93711
44849,"S.B. HealthCare Acquisition, Inc.",Santa Barbara Healthcare,11/15/2014,(805) 892-4501,"36 S. Calle Cesar Chavez Street, Suite B",Santa Barbara,CA,93103
44981,"Centennial Medical Equipment, Inc.",Quest Health Care,1/18/2015,(310) 532-6065,411 W. Walnut Street,Gardena,CA,90248
44990,Ginger-K Center,,3/30/2015,(408) 782-1028,16130 Juan Hernandez Drive-108,Morgan Hill,CA,95037
44991,Qualium Corp.,CPAP Specialists,4/3/2015,(866) 887-6673,"830 Menlo Avenue, Suite 109",Menlo Park,CA,94025
44995,"US Medical and Mobility, Inc.",,1/27/2015,(760) 325-8988,"1227 S. Gene Autry Trail, Suite A",Palm Springs,CA,92264
44997,"FOLE, INC.",Suncare Medical Supplies,1/20/2015,(619) 697-3767,"7309 University Avenue, Suite E",La Mesa,CA,91942
45000,First Care Medical Supply,First Care Medical Supply,12/21/2014,(323) 653-3837,7907 Melrose Avenue,Los Angeles,CA,90046
45006,"Braden Partners, LP",Pacific Pulmonary Services,1/17/2015,(707) 206-9179,"3715 Santa Rosa Avenue, A-9",Santa Rosa,CA,95407
45022,Southern California Home Medical Service,Home Medical Supplies,6/6/2015,(626) 796-5979,3330 East Colorado Boulevard,Pasadena,CA,91107
45056,"HNH Wheelchair Sales, Service & Rental, LLC",,1/12/2015,(916) 489-4180,"7330 Fairoaks Blvd, Suite 9",Carmichael,CA,95608
45059,Queen of Angels Medical Supply,,3/6/2015,(818) 760-2156,12154 Hamlin Street,North Hollywood,CA,91606
45160,CPAP Success,,3/6/2015,(510) 505-9228,4537 Mattos Drive,Fremont,CA,94536
45170,"San Mateo Wheelchairs, Inc.",Wheelchairs Tech,4/6/2015,(925) 427-3773,"1251 California Avenue, Suite 500",Pittsburg,CA,94565
45173,"Royal Diagnostics, Inc.",Valley Medical Supply Company,4/18/2015,(818) 373-7000,14440 Hamlin Street,Van Nuys,CA,91401
45174,"Braden Partners, L.P.",Pacific Pulmonary Services,3/17/2015,(818) 718-9861,"19205 Parthenia Street, Suite J",Northridge,CA,91324
45176,Sutter Visiting Nurse Association and Hospice,Timberlake,4/10/2015,(510) 895-4403,2953 Teagarden Street,San Leandro,CA,94577
45385,"Maui Medical, Inc.",,8/9/2014,(909) 877-1500,317 W. Tullock Street,Rialto,CA,92376
45387,Priority Medical Supply,,3/29/2015,(209) 668-8723,1504 Colorado Avenue,Turlock,CA,95380
45389,Kimcorp,Abbey Medical,6/29/2015,(559) 431-1000,6057 N. Palm Avenue,Fresno,CA,93704
45405,"Master Chief, Inc.",Respiratory Therapy Home Care,3/16/2015,(562) 529-8690,9142 Sonrisa Street,Bellflower,CA,90706
45416,"Sunset Sleep Labs, LLC",,5/2/2015,(805) 582-0999,"2796 Sycamore Drive, Suite 103",Simi Valley,CA,93065
45465,"Ocean Side Home Health Services, Inc.","Oceanside Home Health Serivces, Inc.",5/17/2015,(323) 934-5050,"4322 Wilshire Blvd., Suite 208",Los Angeles,CA,90010
45466,"Ability Center, Inc.",,4/5/2015,(858) 541-0552,4797 Ruffner Street,San Diego,CA,92111
45467,"Advent Medical Equipment & Supply, Inc.",Advent Medical Equipment & Supply,4/24/2015,(323) 255-8008,5806 Monterey Road,Los Angeles,CA,90042
45468,Apria Healthcare LLC,,4/20/2015,(661) 324-4887,414 19th Street,Bakersfield,CA,93301
45499,"Inogen, Inc.",,10/16/2014,(805) 562-0500,326 Bollay Drive,Goleta,CA,93117
45625,Don B. Louie,Sierra Pulmonary,4/24/2015,(530) 621-2055,"6051 Enterprise Drive, Suite 103",Diamond Springs,CA,95619
45638,"Braden Partners, L.P.",Pacific Pulmonary Services,5/10/2015,(925) 370-2922,"827 Arnold Drive, Bay #3",Martinez,CA,94553
45651,Active Potential,Active Potential,6/21/2015,(858) 292-4128,"7898 Ostrow Street, Suite G",San Diego,CA,92111
45653,"A to Z Health Care, Inc.",,6/5/2015,(626) 296-3899,2457 E. Washington Blvd.,Pasadena,CA,91104
45654,"Action Medical Equipment & Supplies, Inc.",,5/25/2015,(310) 978-9832,"11801 Inglewood Blvd., Suite 3",Hawthorne,CA,90250
45656,Ledu's Pedorthic Services,,8/23/2014,(760) 352-3336,215 S. 5th Street,El Centro,CA,92243
45661,"Gallant Medical Supply, Inc.",,5/16/2015,(951) 672-4965,27740 Encanto Drive,Sun City,CA,92586
45843,"Vermont Medical Supply, Inc.",MASH,6/14/2015,(213) 487-5695,"2681 W. Olympic Blvd., #101",Los Angeles,CA,90006
45849,OC Medical Supply,,5/18/2015,(714) 956-4690,755 N. Euclid Street,Anaheim,CA,92801
45867,"Progressive Motion, Inc.",,3/16/2015,(310) 465-1810,"23862 Hawthorne Blvd., Suite 100",Torrance,CA,90505
45968,"Lincare, Inc.",,8/18/2015,(714) 637-7570,"2326 N. Batavia, Suite 115",Orange,CA,92865
46012,"Braden Partners, L.P.",Pacific Pulmonary Services,9/27/2015,(951) 222-2007,3330 Durahart Street,Riverside,CA,92507
46027,Arlene Stephenson,Wyatt Health,7/24/2015,(760) 633-1541,425 1/2 Santa Fe Drive,Encinitas,CA,92024
46048,"Centennial Medical Equipment, Inc.",CalCare Medical,11/1/2014,(626) 796-3280,888 North Fair Oaks Avenue,Pasadena,CA,91103
46122,Apria Healthcare LLC,,10/13/2014,(909) 476-5000,9876 Hawthorne Drive,Rancho Cucamonga,CA,91730
46126,"The Scooter Store - San Francisco, LLC",The Scooter Store / Alliance Seating & Mobility,9/12/2014,(650) 226-0025,"1300 Industrial Road, Unit #20",San Carlos,CA,94070
46137,Feather River Hospital,Feather River Home Oxygen,7/31/2015,(530) 872-0872,1295 Bille Road,Paradise,CA,95969
46173,"Braden Partners, L.P.",Pacific Pulmonary Services,9/13/2015,(707) 442-1130,"1900 Bendixsen Street, Building 6, Unit 4",Samoa,CA,95564
46176,Sunrise Medical Supplies Inc.,,8/31/2014,(510) 893-1168,257 12th Street,Oakland,CA,94607
46240,"Hometown Medical Supplies, Inc.",,8/28/2015,(213) 380-1599,"2426 West 8th Street, Suite 103",Los Angeles,CA,90057
46267,"Kingdom Medical Supply, Inc.",,10/25/2015,(415) 751-0628,"3900 Geary Blvd., Suite 104",San Francisco,CA,94118
46278,"Economy Medical, Inc.",,11/2/2014,(925) 671-4800,114 Center Avenue,Pacheco,CA,94533
46279,"Respironics Colorado, Inc.",,10/5/2014,(562) 483-6805,"14101 Rosecrans Avenue, Unit F",La Mirada,CA,90638
46428,"Oxygen Plus, Inc.",,10/18/2014,(925) 943-5080,"130 La Casa Via, #106",Walnut Creek,CA,94598
46436,Aroma Medical Supply,,10/11/2014,(562) 924-3626,18183 Pioneer Bl.,Artesia,CA,90701
46452,Pain and Rehabilitation Technologies,,10/27/2015,(858) 564-0677,7950 Dunbrook Road,San Diego,CA,92126
46560,"Advantacare Health, Inc.",Advantacare Medical,10/11/2014,(800) 481-4662,"5 Mandeville Court, Suite 200",Monterey,CA,93940
46597,All-Care Medical Supply Corp,,1/3/2015,(323) 750-7800,8937 South Western Ave,Los Angeles,CA,90047
46598,Naptime Homecare,NHC Medical Supply,11/12/2014,(626) 857-9400,910 South Grand Avenue,Glendora,CA,91740
46701,Hub Medical Products Inc,,2/9/2015,(760) 438-3868,"2794 Loker Ave. West,  Suite # 100",Carlsbad,CA,92010
46883,"Braden Partners, L.P.",Pacific Pulmonary Services,12/26/2014,(626) 851-8503,"16031 Arrow Highway, Suite G",Irwindale,CA,91706
46959,Apria Healthcare LLC,,8/27/2015,(530) 669-6420,1680 Tide Court,Woodland,CA,95776
46987,"Wichita Home Care Equip, Inc.",Home Med - Equip Co.,1/5/2015,(209) 521-2538,"1221 E. Orangeburg, Ste. 6",Modesto,CA,95350
47031,Dobson Medical (Equipment) Supply,Dobson Medical (Equipment) Supply,3/19/2015,(562) 602-5501,"8040 Alondra Blvd. , Suite C",Paramount,CA,90723
47032,Apria Healthcare LLC,,3/23/2015,(415) 883-0496,"9 Pamaron Way, Suite A",Novato,CA,94949
47066,"Gallant Medical Supply, Inc.",Gallant Medical Supply,5/4/2015,(951) 658-2505,162 N. San Jacinto St.,Hemet,CA,92543
47075,Scott Valley Respiratory Home Care Inc,,5/8/2015,(530) 841-3000,1714 South Oregon St,Yreka,CA,96097
47076,DME,,10/4/2014,(530) 604-6539,9231 Silver King Road,Redding,CA,96001
47079,"Senior Mobility Aids, Inc.",,2/15/2015,(760) 599-8800,"2588 Progress Street, Suite 1",Vista,CA,92081
47100,Prompt Medical Equipment,,2/12/2016,(562) 630-2569,7910 Adams Street,Paramount,ca,90723
47171,"Braden Partners, L.P.",Pacific Pulmonary Services,3/27/2015,(760) 327-2896,"3500 E. Tachevah Drive, Suite C",Palm Springs,ca,92262
47180,Donald N. Iwuagwu,Nadonah Medical Supply,5/29/2014,(661) 718-3870,5021 West Avenue M,Quartz Hills,ca,93536
47211,"JI Medical, Inc.",Ramat Medical,3/20/2015,(323) 938-7411,"5812 W. Pico Blvd., Ste. A",Los Angeles,ca,90019
47221,Sutter Visiting Nurse Association and Hospice,Timberlake,3/1/2015,(916) 423-2198,8322 Ferguson Avenue,Sacramento,ca,95828
47264,R & F Home Medical Equipment & Supplies,Rhodora Fiore Gent Prt,3/13/2015,(707) 426-1770,1076 Horizon Dr. Unit 4,Fairfield,CA,94533
47290,Inland Durable Medical Equipment & Supplies Corp.,Inland DME & Supplies Corp.,4/6/2015,(951) 278-1222,"1426 W. 6th St., Suite # 108",Corona,CA,92882
47308,Hometown Medical Supplies,Hometown Medical Supplies,3/14/2015,(408) 279-3955,75 Phelan Ave. #1,San Jose,CA,95112
47309,Alpha Respiratory Inc.,Lincare Inc.,3/19/2015,(707) 263-1476,1259 South Main Street,Lakeport,CA,95453
47340,"Home Medical Leaders, Inc.",Palomar Medical Supplies,5/15/2015,(760) 433-2800,602 Vista Way,Oceanside,CA,92054
47390,"Diablo Prosthetics & Orthotics, Inc.",,10/29/2014,(925) 484-6400,4479 Stoneridge Dr. Suite A,Pleasanton,CA,94588
47427,Advanced Home Medical Inc,,6/14/2015,(909) 444-2991,312 Paseo Tesoro,Walnut,CA,91789
47494,"Choice Home Medical Supplies, Inc.",Choice Medical Supplies,4/17/2015,(562) 256-9961,"800 E. Wardlow Rd., Suite A",Long Beach,CA,90807
47497,Lincare Inc,,4/27/2015,(909) 793-0802,"2015 Park Avenue, Ste. 16",Redlands,CA,92373
47499,Amarjit Singh,American Med,5/3/2015,(209) 938-0833,"2216 N. California Street, Suite B",Stockton,CA,95204
47522,Inland Medical Supplies,Inland Medical Supplies,4/27/2015,(951) 354-5151,9438 Magnolia Avenue,Riverside,CA,92503
47555,"DW Medical Supply, Inc.",,5/17/2015,(310) 330-0162,1524 Centinela Ave.,Inglewood,CA,90302
47576,Richand Inc.,Richand Medical Supply,7/13/2014,(760) 242-3600,17852 US Highway 18,Apple Valley,CA,92307
47578,"Enteral Products, LLC",,5/29/2015,(323) 826-2226,"11333 Greenstone Ave., Suite A",Santa Fe Springs,CA,90670
47619,Imperial Medical Management Inc.,,6/7/2015,(951) 674-2424,27297 Lindell Rd.,Lake Elsinore,CA,92532
47776,Ben Djabourian,Vito's Pedorthic Center,6/24/2015,(626) 858-9460,"143 East Rowland Street, # 2",Covina,CA,91723
47815,"Hill-Rom Company, Inc.",,7/9/2015,(707) 476-8101,1817 2nd Street,Eureka,CA,95501
47827,"La Cienega Enterprise, Inc.",La Cienega Pharmacy,7/4/2015,(310) 360-0543,1528 S. La Cienega Blvd.,Los Angeles,CA,90035
47914,"Superior Mobility, Inc",,9/28/2014,(805) 604-1332,"1901 Holser Walk, Suite 302",Oxnard,CA,93036
47915,"Hill-Rom Company, Inc.",,9/18/2015,(650) 872-4337,"375 Oyster Point Blvd., Unit # 6",South San Francisco,CA,94080
47922,Pro Med DME Inc.,,7/19/2014,(714) 816-7888,10641 Calle Lee # 185,Los Alamitos,CA,90720
47926,Lincare Inc,,7/12/2015,(559) 651-2400,9420 W. Pershing Ave.,Visalia,CA,93291
47975,"Braden Partners, L.P.",Pacific Pulmonary Services,7/24/2015,(619) 696-9340,"3350 Market Street, Suite B",San Diego,CA,92102
47979,"Mozena Publishing, Inc.",Mozena Medical Supplies & Equipment,10/18/2014,(562) 498-2500,3935 E. Anaheim St.,Long Beach,CA,90804
47995,Daniel Turner,A.N.G. Medical Supply,8/28/2014,(818) 782-3637,7277 Hayvenhurst Ave. # B-14,Van Nuys,CA,91406
48056,"Mobility Equipment, Inc.",Independent Mobility Repair,8/10/2015,(650) 596-7358,"955 E. San Carlos Avenue, Suite C",San Carlos,CA,94070
48060,Super Care Inc,,8/17/2015,(800) 206-4880,320 W. Cerritos Ave.,Glendale,CA,91204
48116,White Tiger Enterprises,Frontera Equipo Medico,8/30/2014,(760) 357-2777,302 E. 3rd Street,Calexico,CA,92231
48136,Aspen Medical Resources,,9/14/2014,(714) 237-0999,685 N. Shepard St.,Anaheim,CA,92806
48137,"Braden Partners, L.P.",Pacific Pulmonary Services,10/16/2015,(209) 722-0680,"450 Grogan Ave., Suite B",Merced,CA,95341
48140,Grove Medical Equipment LLC,The CPAP Company,10/4/2014,(510) 263-3333,"985 Atlantic Ave., Suite 260",Alameda,CA,94501
48168,Cristal Medical Supply Inc.,,11/13/2014,(323) 255-8333,1722 1/2 Colorado Blvd.,Los Angeles,CA,90041
48199,Cure-All Medical Corporation,,8/31/2014,(323) 344-8836,5810 Monterey Road,Los Angeles,CA,90042
48239,Home Health Resource,,8/28/2015,(510) 352-9592,"4361 Technology Dr., Ste. C",Livermore,CA,94551
48324,Holy Spirit DME,,9/12/2014,(626) 962-6288,"12711 Ramona Blvd, Ste 108",Irwindale,CA,91706
48326,"Advantacare Health, Inc.",Advantacare Medical,10/5/2014,(831) 481-4662,"2121 41st Avenue, Suite 303",Capitola,CA,95010
48366,Lincare Inc,,10/12/2015,(559) 435-6379,"7545 N. Del Mar Ave., Suite 102",Fresno,CA,93711
48442,Bioness Inc.,,10/29/2014,(800) 211-9136,25103 Rye Canyon Loop,Valencia,CA,91355
48444,Shield Healthcare,,11/9/2014,(800) 675-8840,"2950 Buskirk Ave., Ste. 180",Walnut Creek,CA,94597
48458,"Pulmonary Solutions, LLC",,11/8/2014,(707) 237-7137,"3765 Brickway Blvd., Suite 103",Santa Rosa,CA,95403
48592,Aable Medical Products,,1/18/2015,(916) 852-0699,"3250 Monier Circle, Suite A",Rancho Cordova,CA,95742
48594,"Medical Providers, Inc.",Breathe Medical,12/18/2014,(866) 535-2727,"1322 Bell Avenue, 1-E",Tustin,CA,92780
48602,Amgem Homecare,,12/26/2014,(805) 583-3200,1405 Kuehner Drive,Simi Valley,CA,93063
48606,Home Oxygen Company LLC,,1/8/2015,(209) 523-0202,2020 Coffee Rd. # C-1A,Modesto,CA,95355
48620,CHME Inc.,California Home Medical Equipment,11/13/2014,(650) 357-8550,"289 Foster City Blvd., Suite A",Foster City,CA,94404
48653,"MD-Mart, Inc.",,11/16/2014,(408) 453-6468,"1630 Oakland Road, Suite A108",San Jose,CA,95131
48680,"Monitor Medical, Inc.",,12/7/2014,(661) 322-2125,"4001 Union Avenue, Unit # 2",Bakersfield,CA,93305
48684,Southland Respiratory,,11/15/2014,(951) 785-4232,"11711 Sterling Ave., Suite D",Riverside,CA,92503
48686,"SleepQuest, Inc.",,11/29/2014,(650) 412-0123,"985 Industrial Way, Suite 200",San Carlos,CA,94070
48689,"ACI Medical, LLC",,12/31/2014,(760) 744-4400,1857 Diamond Street,San Marcos,CA,92078
48733,"National Seating & Mobility, Inc.",,8/12/2015,(909) 335-6047,"350 Alabama St, Suite C-D",Redlands,CA,92373
48761,"Avangard Souz Business, Inc.",Long Life Medical Health Supply,12/19/2014,(661) 799-9555,"23120 Lyons Ave., Suite 8",Newhall,CA,91321
48762,Lawal A. Balogun,Superior Medical Supply,12/18/2014,(909) 386-3657,"1525 N. D. Street, Suite 14",San Bernardino,CA,92405
48770,Angelo Miller,AHI,1/25/2015,(510) 835-5022,"400 29th Street, Suite # 208",Oakland,CA,94609
48786,Post Surgical Rehab Specialists,,2/5/2015,(562) 468-4600,"10450 Pioneer Blvd., Suite #3",Santa Fe Springs,CA,90670
48843,"Aeon Medical Equipment & Supplies,Inc.",,3/10/2015,(909) 596-3252,"1518 Arrow Hwy, Suite J",La Verne,CA,91750
48855,Wheelchairs of Berkeley,,12/10/2014,(510) 549-8727,2911 Shattuck Avenue,Berkeley,CA,94705
48861,MedSupply,,1/15/2015,(559) 292-1540,"5850 E. Shields Avenue, Suite 105",Fresno,CA,93727
48872,Butte Therapy Systems Stockton,,1/4/2015,(209) 465-0300,1050 N. Union St.,Stockton,CA,95205
48966,"ATG Designing Mobility, Inc.",Numotion,3/4/2015,(858) 571-6544,"7292 Opportunity Rd., Ste. C",San Diego,CA,92111
48981,Freedom Mobility Center LLC,Freedom Mobility Center,2/28/2015,(510) 799-9920,586 Parker Avenue,Rodeo,CA,94572
48990,MCH Medical Equipment Inc.,Western Rehab,1/27/2015,(707) 544-2412,"3535 Industrial Drive, Suite B1",Santa Rosa,CA,95403
48991,"Homedic, Inc.",Homedic Respiratory Care,3/6/2015,(909) 422-1112,"671 Cooley Drive, # 104",Colton,CA,92324
49044,"Anodyne International, Inc.","Integrated Recovery Products Inc, Integrated Prescriptions Solutions Inc",2/19/2015,(949) 423-0131,3190-A Airport Loop Dr.,Costa Mesa,CA,92626
49071,"Owens Healthcare-Medical Equipment, Inc.",,3/6/2015,(530) 241-7573,2950 Railroad Avenue,Redding,CA,96001
49135,Alpine Home Medical,,2/21/2015,(562) 493-3910,12841 Western Ave. # A,Garden Grove,CA,92841
49177,We Care Orthopedics,,5/1/2015,(661) 821-2625,24120 San Juan Drive,Tehachapi,CA,93561
49221,"Peninsula Biomedical, Inc.","Peninsula Medical, Inc.",4/24/2015,(831) 430-9066,"108 Whispering Pines Drive, Suite 115",Scotts Valley,CA,95066
49222,Everything Medical,,3/6/2015,(530) 223-3633,2109 Hilltop Dr.,Redding,CA,96002
49249,"E-Medical Supplies, Inc.",,4/7/2015,(888) 814-6639,18835 Lower Sacramento Rd.,Woodbridge,CA,95258
49328,FCMS Corporation,First Choice Medical Supply,4/4/2015,(661) 325-5331,1400 Easton Dr. # 121,Bakersfield,CA,93309
49346,Curecare Home Medical Equipment & Supplies Inc.,,4/7/2015,(562) 697-5727,"631 S. Palm, Unit I",La Habra,CA,90631
49358,Gateway Healthcare Products Inc.,,3/28/2015,(408) 735-7444,112 East Fremont Ave.,Sunnyvale,CA,94087
49361,"Unicare Diagnostics, Inc.","Unicare Health Services, BreathRite Pharmacy",4/11/2015,(805) 375-0033,3271 Grande Vista Drive,Newbury Park,CA,91320
49403,Hoveround Corporation,,4/16/2015,(800) 771-6565,351 W. Cromwell Ave. # 102,Fresno,CA,93722
49424,Apria Healthcare LLC,,5/14/2015,(530) 273-7237,12981 Loma Rica Drive,Grass Valley,CA,95945
49440,"Pulmonary Solutions, LLC",,8/14/2015,(877) 290-8636,"1500 41st Ave., Suite 258",Capitola,CA,95010
100001,Geoffrey N. Gipson,Valley Medical Supply,12/27/2014,(530) 895-3923,1378 Longfellow Avenue,Chico,CA,95926
100004,Homox Corporation,Homox Medical Equipment,1/30/2015,(626) 918-3211,1643 North Hacienda Boulevard,La Puente,CA,91744
100008,"Alpha Respiratory, Inc.","Lincare, Inc.",10/1/2015,(530) 223-2080,"1620 East Cypress Avenue, Suite 12",Redding,CA,96002
100010,Entech Medical Corporation,,1/1/2015,(909) 596-6785,1910 D Street,La Verne,CA,91750
100013,"Antioch Medical & Hospital Supply, Inc.",,12/1/2014,(925) 757-4099,306 G Street,Antioch,CA,94509
100025,"Shield CA Health Care Centers, Inc.",,4/1/2015,(800) 372-6205,9520 Norwalk Boulevard,Santa Fe Springs,CA,90670
100027,"Ron Andrews Medical Co., Inc.",,2/1/2015,(415) 492-1770,117 Carlos Drive,San Rafael,CA,94903
100029,"A V Pulmonary Care, Inc.",,5/1/2015,(661) 942-9995,340 West Milling Street,Lancaster,CA,93534
100034,"Brannon's Rentals & Sales, Inc.",Brannon's Medical,4/1/2015,(408) 448-3000,2052 Lincoln Avenue,San Jose,CA,95125
100036,Comfort Care Medical Products,,4/1/2015,(323) 666-0414,"5220 Santa Monica Boulevard, Suite D",Los Angeles,CA,90029
100048,"Wichita Home Care Equipment, Inc.",Home Med-Equip Co.,12/1/2014,(925) 680-0638,"5046 Commercial Circle, Suite G",Concord,CA,94520
100064,"Braden Partners, L.P.",Pacific Pulmonary Services,12/1/2015,(661) 861-6160,"3101 N. Sillect Avenue, Suite 106",Bakersfield,CA,93308
100078,"Home Medix, Inc.",,8/1/2015,(562) 595-1153,3811 Atlantic Avenue,Long Beach,CA,90807
100084,Golden Valley Medical & Oxygen Service,,6/1/2015,(909) 884-0445,424 West Highland Avenue,San Bernardino,CA,92405
100087,"Calox, Inc.",,4/1/2015,(323) 255-5175,3034 Fierro Street,Los Angeles,CA,90065
100098,"Braden Partners, L.P.",Pacific Pulmonary Services,1/1/2015,(530) 342-1000,"2961 Highway 32, Suite 18",Chico,CA,95973
